0,1,2,3
Particulars,2017-18,2018-19,2019-20
Total operating income,"5,095.69","6,782.19","10,208.37"
Impairment charge/(reversal) for loans and other losses,(289.84),198.19,"1,740.62"
Net operating income,"5,385.52","6,584.00","8,467.75"
Personnel expenses,"1,314.22","1,579.66","2,486.11"
Other operating expenses,766.48,859.41,"1,272.27"
Depreciation &Amortization,243.74,238.30,304.12
Operating Profit,"3,061.07","3,906.63","4,405.25"
Non-operating income,1.89,27.29,0.64
Non-operating expense,150.98,-,58.52
Profit before income tax,"2,911.98","3,933.92","4,347.37"
Income Tax Expense,-,-,"1,259.33"
Current Tax,948.52,"1,202.57","1,294.77"
Deferred Tax,(137.90),(30.61),(35.44)
Profit/Loss for the period,"2,101.36","2,761.95","3,088.04"
