0,1,2,3,4,5
Machhapuchchhre Bank Limited (MBL),55,57,56,88,132
Kumari Bank Limited (KBL),33,36,74,88,93
Laxmi Bank Limited (LXBL),29,50,66,96,110
Siddhartha Bank Limited (SBL),41,62,70,121,156
Agriculture Development Bank (ADBL)*,240*,245,249,250,264
Global Bank Limited / Global IME Bank Limited (GBL)#,86,87,113,132,163
Citizens Bank International Limited (CBIL),54,56,60,79,75
Prime Commercial Bank Limited (PCBL),30,32,53,63,67
Sunrise Bank Limited (SRBL),51,67,70,92,118
Grand Bank Limited,23,-,-,-,-
NMB Bank Limited (NMB),29,71,80,118,114
Janata Bank Nepal Limited (JBNL),34,123,88,121,145
Mega Bank Nepal Limited (MBNL),28,37,47,105,121
Civil Bank Limited (CBL),41,40,51,69,90
Century Commercial Bank Limited (CCBL),31,42,67,103,121
Sanima Bank Limited (SBL),38,31,46,74,79
Prabhu Bank Limited&,113,40,135,164,214
Total,"1,682","1,869","2,274","3,023","3,585"
