0,1,2,3
Current Tax Liabilities,-,-,482.35
Provisions,-,-,-
Deferred tax liabilities,"1,346.34","1,778.50","1,918.85"
Other liabilities,"6,703.35","12,228.18","8,468.53"
Debt securities issued,"2,096.63","6,484.84","6,486.98"
Subordinated Liabilities,-,-,-
,,,
Equity,"33,858.11","52,981.75","56,912.68"
Share Capital,"13,844.45","22,832.91","27,057.00"
Share premium,158.76,0.18,-
Retained earnings,"4,162.93","2,899.54","3,187.06"
Reserves,"15,691.97","27,249.12","26,668.62"
,,,
Total Liabilities and Equity,"291,066.22","419,818.10","481,203.55"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"17,188.72","23,340.75","46,251.16"
Interest Expense,"9,112.83","14,421.88","28,502.32"
Net Interest Income,"8,075.88","8,918.87","17,748.84"
Fees and commission income,"1,565.80","2,043.27","3,545.85"
Fees and commission expense,77.23,464.38,651.05
Net fee and commission income,"1,488.57","1,578.90","2,894.79"
"Net interest, fee and commission income","9,564.45","10,497.77","20,643.63"
Net trading income,643.76,564.99,486.56
Other operating income,"1,451.44",410.41,365.91
Total operating income,"11,659.65","11,473.17","21,496.10"
Impairment charge/(reversal) for loans and other losses,827.52,"1,118.82","5,426.27"
Net operating income,"10,832.13","10,354.35","16,069.83"
Personnel expenses,"3,411.79","2,658.93","4,525.10"
Other operating expenses,"1,052.75","1,023.80","1,528.76"
Depreciation and Amortization,141.57,390.03,503.21
Operating Profit,"6,226.02","6,281.59","9,512.76"
Non-operating income,35.30,8.70,43.33
Non-operating expense,5.87,2.73,274.88
Profit before income tax,"6,255.46","6,287.56","9,281.21"
Income Tax Expense,-,,-
Current Tax,"2,258.55","1,940.23","2,803.08"
Deferred Tax,(530.64),91.31,73.19
Profit for the period,"4,527.55","4,256.02","6,404.94"
