0,1,2,3
6. Standard Chartered Bank Nepal Limited,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalent,"19,139.90","16,961.55","28,499.22"
Due from Nepal Rastra Bank,"2,380.23","4,032.14","3,750.85"
Placement with bank and financial institutions,"2,567.37","6,940.37",3.09
Derivative financial instruments,22.00,8.18,0.70
Other trading assets,-,-,-
Loan and advances to B/FIs,"10,217.35","16,830.21","7,487.46"
Loans and advances to customers,"79,197.40","77,831.30","81,142.52"
Investment securities,"7,910.85","26,362.13","17,833.70"
Current tax assets,113.13,152.50,-
Investment in subsidiaries,-,-,-
Investment in associates,-,-,281.08
Investment property,-,-,-
Property and equipment,612.94,568.14,465.52
Goodwill and Intangible assets,-,-,-
Deferred tax assets,51.17,10.31,93.66
Other assets,"1,143.36","1,681.16","1,631.27"
TOTAL ASSETS,"123,355.71","151,378.01","141,189.07"
,-,-,-
Liabilities,"105,220.61","131,235.32","120,670.25"
Due to Bank and Financial Institutions,"8,223.67","4,992.30","2,341.88"
Due to Nepal Rastra Bank,514.99,-,-
Derivative financial instruments,0.19,88.85,4.30
Deposits from customers,"93,721.92","117,500.98","112,483.89"
Borrowing,-,"2,630.60",-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"2,759.85","3,528.73","3,316.24"
Debt securities issued,-,"2,493.87","2,523.94"
Subordinated Liabilities,-,-,-
Equity,"18,135.10","20,142.69","20,518.82"
Share capital,"9,429.45","9,429.45","9,429.45"
Share premium,-,-,-
Retained earnings,"2,197.90","2,710.56","2,461.56"
Reserves,"6,507.75","8,002.68","8,627.81"
