0,1,2,3
Particulars,2017-18,2018-19,2019-20
Placement with Bank and Financial Institutions,883.61,739.54,51.33
Derivative financial instruments,"3,284.58","1,057.62",517.81
Other trading assets,-,-,-
Loan and advances to B/FIs,"1,591.79","2,675.25","3,323.59"
Loans and advances to customers,"55,528.64","69,861.33","110,604.13"
Investment securities,"7,068.83","11,496.08","15,451.74"
Current tax assets,22.06,50.53,350.65
Investment in subsidiaries,200.00,200.00,200.00
Investment in associates,-,13.60,38.60
Investment property,243.94,201.48,219.90
Property and equipment,673.14,734.92,"1,379.78"
Goodwill and Intangible assets,25.95,53.97,67.68
Deferred tax assets,-,78.19,102.59
Other assets,588.80,528.42,499.68
TOTAL ASSETS,"82,064.95","98,765.76","155,124.85"
Due to Bank and Financial Institutions,986.65,"3,858.04","4,214.93"
Due to Nepal Rastra Bank,603.57,731.80,614.53
Derivative financial instruments,"3,258.18",973.92,440.70
Deposits from customers,"63,499.00","78,684.86","127,894.61"
Borrowing,-,-,"2,440.27"
Current Tax Liabilities,-,-,-
Provisions,11.49,-,-
Deferred tax liabilities,73.53,-,-
Other liabilities,998.29,"1,005.24","1,915.51"
Debt securities issued,-,-,-
Subordinated Liabilities,-,-,-
Equity,"12,634.23","13,511.90","17,604.29"
Share capital,"10,285.53","10,388.62","13,138.62"
Share premium,2.56,-,27.90
Retained earnings,708.63,"1,221.87","1,117.18"
Reserves,"1,637.51","1,901.41","3,320.59"
TOTAL EQUITY AND LIABILITIES,"82,064.95","98,765.76","155,124.85"
Interest Income,"6,022.14","9,374.68","10,383.07"
Interest Expenses,"3,648.58","5,578.93","6,212.02"
Net Interest Income,"2,373.56","3,795.75","4,171.05"
Fee and commission income,320.27,531.12,522.19
Fee and commission expense,24.55,46.49,50.85
Net Fee and commission income,295.72,484.62,471.34
