0,1,2,3
28. Sanima Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"2,948.78","4,530.15","4,636.42"
Due from Nepal Rastra Bank,"5,265.30","5,608.17","2,781.20"
Placement with Bank and Financial Institutions,982.24,649.16,827.70
Derivative financial instruments,17.73,-,85.07
Other trading assets,406.24,478.05,484.42
Loan and advances to B/FIs,603.94,"1,645.22","2,020.42"
Loans and advances to customers,"51,038.47","67,598.13","81,418.86"
Investment securities,"6,429.15","9,413.44","13,611.19"
Current tax assets,17.14,-,0
Investment in subsidiaries,110.00,250.00,250.00
Investment in associates,-,-,0
Investment property,-,-,0
Property and equipment,713.08,881.85,"1,150.52"
Goodwill and Intangible assets,3.32,56.55,70.32
Deferred tax assets,-,50.15,14.77
Other assets,946.30,661.07,"1,713.60"
TOTAL ASSETS,"69,481.70","91,821.95","109,064.49"
Due to Bank and Financial Institutions,"2,103.52","1,346.96","3,694.46"
Due to Nepal Rastra Bank,611.01,358.95,"1,018.92"
Derivative financial instruments,-,18.85,-
Deposits from customers,"56,161.06","77,849.38","89,373.73"
Borrowing,-,-,-
