0,1,2,3
Other trading assets,"3,140.11","2,979.93","2,646.09"
Loans and advances to BFIs,"151,606.46","169,448.64","161,676.96"
Loans and advances to customers,"3,536,045.23","3,983,998.53","4,103,890.08"
Investment securities,"711,317.12","871,784.30","973,467.64"
Current tax assets,"13,790.88","15,246.37","16,212.83"
Investment in subsidiaries,"5,957.22","6,157.22","10,582.08"
Investment in associates,"4,852.18","3,837.53","8,115.01"
Investment property,"6,773.49","8,675.10","15,481.96"
Property and equipment,"55,718.75","75,947.82","108,085.67"
Goodwill and Intangible assets,"2,463.82","3,344.41","5,892.73"
Deferred tax assets,"1,482.80","1,957.48","3,245.53"
Other assets,"65,591.00","86,415.75","97,274.19"
Total Assets,"5,223,069.92","5,791,576.93","6,180,508.36"
,,,
Liabilities,"4,666,353.83","5,179,250.34","5,518,783.21"
Due to Bank and Financial Institutions,"143,418.30","114,827.47","102,271.43"
Due to Nepal Rastra Bank,"121,182.00","228,089.99","6,776.54"
Derivative Financial Instrument,"66,608.36","10,664.70","23,341.64"
Deposits from customers,"4,086,195.06","4,461,959.77","5,004,420.87"
Borrowings,"26,571.82","76,000.10","66,022.65"
Current Tax Liabilities,"1,907.67","2,239.06","3,270.45"
Provisions,755.26,617.61,710.64
Deferred tax liabilities,"13,024.08","8,987.56","15,124.12"
Other liabilities,"107,428.89","144,660.78","140,969.78"
Debt securities issued,"99,262.40","131,203.29","155,875.08"
Subordinated Liabilities,-,-,-
,,,
Equity,"556,716.09","612,326.59","661,725.14"
Share Capital,"316,196.37","357,095.45","369,857.33"
Share premium,"6,692.78",566.18,269.35
Retained earnings,"52,063.47","47,359.43","16,240.95"
Reserves,"181,763.47","207,305.53","275,357.51"
,,,
Total Liabilities and Equity,"5,223,069.92","5,791,576.93","6,180,508.36"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"327,394.13","438,747.76","551,493.39"
Interest Expense,"194,440.50","285,853.50","365,429.72"
Net Interest Income,"132,953.64","152,894.26","186,063.67"
Fees and commission income,"28,729.57","32,078.73","32,806.58"
Fees and commission expense,"3,169.21","4,940.14","5,782.43"
Net fee and commission income,"25,560.36","27,138.59","27,024.15"
"Net interest, fee and commission income","158,514.00","180,032.85","213,087.82"
Net trading income,"11,857.66","8,126.66","5,405.28"
Other operating income,"11,848.97","7,030.86","4,703.75"
