0,1,2,3
Deferred tax liabilities,-,-,-
Other liabilities,"3,302.48","3,235.53","3,663.18"
Debt securities issued,"9,152.21","9,159.43","9,167.41"
Subordinated Liabilities,-,-,-
Equity,"27,173.42","30,652.35","32,890.48"
Share Capital,"19,402.58","19,402.58","19,402.58"
Share premium,-,-,-
Retained earnings,(666.95),995.34,"1,733.30"
Reserves,"8,437.80","10,254.43","11,754.60"
Total Liabilities and Equity,"220,827.81","267,002.38","316,491.57"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"23,159.25","25,799.30","23,628.50"
Interest Expense,"16,018.50","17,916.53","14,710.34"
Net Interest Income,"7,140.75","7,882.78","8,918.16"
Fee and commission income,"1,354.54","1,874.21","1,914.54"
Fee and commission expense,178.31,195.44,220.25
Net Fee and Commission Income,"1,176.23","1,678.77","1,694.29"
"Net Interest, Fee and Commission Income","8,316.98","9,561.54","10,612.45"
Net trading income,150.35,153.61,240.33
Other operating income,142.90,118.95,393.15
Total operating income,"8,610.23","9,834.11","11,245.93"
Impairment  Charge/ (Reversal) for  Loans  and  Other Losses,"4,106.19","1,636.72","2,720.74"
Net operating income,"4,504.04","8,197.39","8,525.19"
Personnel expenses,"1,600.42","2,047.43","2,293.84"
Other operating expenses,527.88,528.42,552.81
Depreciation & Amortization,322.11,308.62,295.74
Operating Profit,"2,053.63","5,312.92","5,382.79"
Non operating income,-,0.83,1.90
Non operating expense,72.08,266.71,621.29
Profit before income tax,"1,981.55","5,047.04","4,763.40"
Income Tax Expense,-,-,
Current Tax,"1,125.66","1,645.37","1,979.47"
Deferred Tax,(172.01),(106.23),(416.84)
Profit for the Year,"1,027.90","3,507.89","3,200.76"
