0,1,2,3
Fee and commission income,520.17,724.40,873.84
Fee and commission expense,50.34,60.64,45.10
Net Fee and commission income,469.83,663.76,828.75
"Net Interest, Fee and commission income",2798.25,3961.79,"4,350.61"
Net trading income,512.24,594.27,729.05
Other operating income,106.42,124.50,131.95
Total operating income,3416.91,4680.56,"5,211.61"
Impairment charge/(reversal) for loans and other losses,-19.58,74.89,88.24
Net operating income,3436.49,4605.67,"5,123.37"
Personnel expenses,771.62,997.88,"1,084.36"
Other operating expenses,464.83,564.32,525.70
Depreciation & Amortisation,26.28,26.01,35.70
Operating Profit,2173.76,3017.46,"3,477.63"
Non operating income,8.08,4.03,-
Non operating expense,0.00,0.00,2.95
Profit before income tax,2181.84,3021.49,"3,474.68"
Income Tax Expense,-,-,-
Current Tax,595.51,976.68,"1,022.94"
Deferred Tax,36.34,-145.08,17.07
Profit/Loss for the period,1549.99,2189.90,"2,434.66"
