0,1,2,3
Due from Nepal Rastra Bank,"14,321.97","7,417.25","5,637.28"
Placement with Bank and Financial Institutions,"7,964.99","8,136.78","8,778.71"
Derivative financial instruments,133.98,36.75,-
Other trading assets,-,-,-
Loan and advances to B/FIs,"4,920.06","5,094.85","7,659.34"
Loans and advances to customers,"135,082.10","156,816.68","157,157.09"
Investment securities,"26,078.44","35,168.05","44,572.88"
Current tax assets,715.88,586.04,436.40
Investment in subsidiaries,171.50,171.50,171.50
Investment in associates,82.36,82.36,82.36
Investment property,265.98,601.85,573.02
Property and equipment,"4,010.98","4,076.39","4,536.01"
Goodwill and Intangible assets,124.62,112.24,75.35
Deferred tax assets,-,-,-
Other assets,"1,613.01","2,616.67","3,620.61"
,,,
Total Assets,"203,023.90","227,930.13","244,448.79"
,,,
Liabilities,"175,850.73","195,695.22","210,456.88"
Due to Bank and Financial Institutions,"2,462.22","4,840.27","1,973.92"
Due to Nepal Rastra Bank,2.72,"3,575.65","6,470.87"
Derivative financial instruments,-,,-                     5.24
Deposits from customers,"166,362.13","174,557.70","184,791.07"
Borrowing,-,,"-              3,825.00"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,968.73,"1,792.92","1,099.51"
Other liabilities,"2,804.94","4,178.68","6,291.27"
Debt securities issued,"3,250.00","6,750.00","6,000.00"
Subordinated Liabilities,-,-,-
,,,
Equity,"27,173.16","32,234.91","33,991.91"
Share capital,"14,248.95","16,257.33","18,307.54"
Share premium,32.60,4.80,-
Retained earnings,"2,622.39","1,836.62","1,307.67"
Reserves,"10,269.22","14,136.17","14,376.71"
,,,
Total Equity and Liabilities,"203,023.90","227,930.13","244,448.79"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest income,"15,201.33","13,712.05","16,703.93"
Interest expense,"9,423.66","8,118.99","10,884.94"
Net interest income,"5,777.67","5,593.05","5,818.99"
Fees and Commission income,"1,513.16","1,362.04","1,592.63"
