0,1,2,3
Particulars,2017-18,2018-19,2019-20
Retained earnings,"3,254.81","3,735.33","3,042.24"
Reserves,"9,288.25","10,441.36","12,661.67"
TOTAL EQUITY AND LIABILITIES,"160,978.07","201,138.82","237,721.26"
Interest Income,"11,349.87","15,243.80","16,499.52"
Interest Expenses,"5,087.81","8,084.53","9,479.25"
Net Interest Income,"6,262.06","7,159.25","7,020.27"
Fee and commission income,"1,053.29","1,291.01","1,305.23"
Fee and commission expense,21.91,64.46,63.25
Net Fee and commission income,"1,031.38","1,226.54","1,241.98"
"Net Interest, Fee and commission income","7,293.44","8,385.80","8,262.25"
Net trading income,390.65,448.34,468.09
Other operating income,558.80,494.67,430.41
Total operating income,"8,242.89","9,328.81","9,160.75"
Impairment charge/(reversal) for loans and other losses,175.86,405.17,744.56
Net operating income,"8,067.03","8,923.64","8,416.18"
Personnel expenses,"1,727.71","1,949.61","2,169.79"
Other operating expenses,562.44,777.20,"1,037.41"
Depreciation &Amortization,123.92,170.17,115.36
Operating Profit,"5,652.96","6,026.65","5,093.63"
Non-operating income,11.19,17.01,4.45
Non-operating expense,6.81,2.34,(2.50)
Profit before income tax,"5,657.34","6,041.32","5,095.57"
Income Tax Expense,,,"1,528.90"
Current Tax,"1,682.47","1,810.17","1,528.90"
Deferred Tax,(7.02),(7.71),-
Profit/Loss for the period,"3,981.89","4,238.85","3,566.67"
