0,1,2,3,4,5,6,7
11,Nepal Credit and Commerce Bank Limited,13.22%,14.04%,12.38%,13.40%,10.35,13.80
12,NIC Asia Bank Limited,8.22%,13.28%,8.18%,13.16%,7.51,12.41
13,Machhapuchchhre Bank Limited,11.98%,12.88%,9.54%,13.00%,8.64,12.00
14,Kumari Bank Limited,11.20%,12.07%,11.13%,14.42%,10.53,13.69
15,Laxmi Bank Limited,10.33%,11.32%,10.02%,12.62%,9.27,11.85
16,Siddhartha Bank Limited,9.94%,12.49%,9.06%,12.97%,8.56,13.45
17,Agricultural Development Bank Nepal,19.29%,20.31%,17.63%,20.46%,14.76,23.31
18,Global IME Bank Limited,10.44%,12.31%,10.96%,12.41%,10.52,13.17
19,Citizens Bank International Limited,12.35%,13.19%,12.10%,15.45%,11.24,13.89
20,Prime Commercial Bank Limited,12.05%,12.78%,12.71%,13.40%,12.58,15.10
21,Sunrise Bank Limited,11.28%,13.14%,10.21%,14.60%,9.79,13.75
22,NMB Bank Limited,13.03%,15.32%,12.51%,14.56%,11.40,15.09
23,Prabhu Bank Limited,10.48%,11.58%,9.76%,11.59%,8.66,13.07
24,Mega Bank Limited,14.56%,15.48%,12.02%,12.88%,11.80,12.98
25,Civil Bank Limited,17.01%,17.97%,13.83%,15.00%,10.75,11.93
26,Century Commercial Bank Limited,13.30%,14.10%,13.80%,14.53%,11.18,12.34
27,Sanima Bank Limited,10.55%,13.11%,10.33%,12.97%,9.21,13.54
