0,1,2,3
"Net Interest, Fee and commission income",22544.75,25039.52,"27,410.72"
Net trading income,414.35,454.31,730.63
Other operating income,98.94,40.88,350.26
Total operating income,23058.04,25534.72,"28,491.62"
Impairment charge/(reversal) for loans and other losses,1589.77,384.36,639.67
Net operating income,21468.27,25150.35,"27,851.93"
Personnel expenses,8345.55,8341.84,"8,125.34"
Other operating expenses,2023.82,2007.15,"2,468.76"
Depreciation & Amortisation,357.26,482.18,472.12
Operating Profit,10741.64,14319.18,"16,785.71"
Non operating income,849.32,540.39,638.63
Non operating expense,25.77,13.68,0.63
Profit before income tax,11565.20,14845.88,"10,335.65"
Income Tax Expense,1171.44,1522.01,"1,532.41"
Current Tax,3417.50,5435.43,"3,614.96"
Deferred Tax,523.58,-906.82,"1,692.05"
Profit/Loss for the period,7624.12,10317.27,"12,116.70"
