0,1,2,3
Particulars,2017-18,2018-19,2019-20
Total operating income,"5,853.38","6,680.86","6,354.68"
Impairment charge/(reversal) for loans and other losses,679.92,133.62,303.10
Net operating income,"5,173.46","6,547.23","6,051.58"
Personnel expenses,"1,322.25","1,638.13","1,644.24"
Other operating expenses,694.27,796.69,878.18
Depreciation &Amortization,168.28,170.19,180.32
Operating Profit,"2,988.67","3,942.21","3,348.84"
Non-operating income,309.53,49.33,398.08
Non-operating expense,533.01,58.38,251.58
Profit before income tax,"2,765.18","3,933.16","3,495.33"
Income Tax Expense,,,952.75
Current Tax,877.61,"1,192.12",960.26
Deferred Tax,11.96,(22.81),(7.52)
Profit/Loss for the period,"1,875.61","2,763.85","2,542.59"
