0,1,2,3
Due from Nepal Rastra Bank,"7,806.30","2,980.81","4,896.29"
Placement with Bank and Financial Institutions,"1,206.00","4,646.44",-
Derivative financial instruments,68.02,,-                     1.14
Other trading assets,-,-,-
Loans and Advances to BFIs,"2,395.07","1,906.58","2,979.43"
Loans and advances to customers,"81,018.60","100,490.66","120,076.03"
Investment in Securities,"13,112.82","20,860.09","28,329.19"
Current tax assets,206.80,262.56,466.50
Investment in Subsidiaries,157.14,261.31,261.31
Investment in associates,-,-,-
Investment property,433.36,404.14,844.10
Property and equipment,"1,064.58","1,026.71",815.62
Goodwill and Intangible assets,48.07,25.93,8.18
Deferred tax assets,-,-,-
Other assets,769.92,752.47,"2,120.03"
,,,
Total Assets,"116,298.52","137,763.42","170,252.48"
,,,
Liabilities,"102,904.74","122,993.71","153,676.74"
Due to Bank and Financial Institutions,"5,191.81","6,286.48","3,327.18"
Due to Nepal Rastra Bank,743.47,"2,995.98","7,292.46"
Derivative financial instruments,,-                  10.47,-
Deposits from customers,"90,223.27","106,432.37","131,606.26"
Borrowings,"1,202.50","1,192.50","3,655.08"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,94.35,220.38,33.19
Other liabilities,"1,462.84","1,867.17","3,772.15"
Debt securities issued,"3,986.50","3,988.37","3,990.42"
Subordinated Liabilities,-,-,-
,,,
Equity,"13,393.79","14,769.71","16,575.73"
Share Capital,"8,967.81","9,487.94","10,118.89"
Share premium,-,-,-
Retained earnings,743.61,668.86,205.68
Reserves,"3,682.37","4,612.90","6,251.15"
,,,
Total Liabilities and Equity,"116,298.52","137,763.42","170,252.48"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"10,020.93","8,960.72","13,800.26"
Interest Expense,"6,161.73","5,436.64","9,459.39"
Net Interest Income,"3,859.21","3,524.08","4,340.88"
Fee and commission income,990.02,"1,143.79","1,194.80"
Fee and commission expense,129.65,178.62,261.11
Net Fee and commission income,860.36,965.17,933.69
"Net Interest, Fee and Commission Income","4,719.57","4,489.24","5,274.57"
Net trading income,222.77,242.21,247.91
Other operating income,73.67,194.48,234.58
Total operating income,"5,016.01","4,925.93","5,757.05"
Impairment Charge/ (Reversal) for Loans and Other Losses,849.83,254.68,560.32
