0,1,2,3
Share premium,-,-,-
Retained earnings,"1,140.83",(93.84),"1,901.38"
Reserves,"8,926.89","10,698.65","11,906.52"
Total Liabilities and Equity,"287,777.14","294,868.16","351,592.51"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"26,622.46","25,682.54","22,267.95"
Interest Expense,"18,280.00","18,465.80","14,247.06"
Net Interest Income,"8,342.46","7,216.74","8,020.89"
Fee and commission income,"1,833.47","1,987.21","2,426.66"
Fee and commission expense,286.61,311.23,242.07
Net Fee and commission income,"1,546.86","1,675.97","2,184.59"
"Net Interest, Fee and commission income","9,889.32","8,892.72","10,205.48"
Net trading income,236.29,242.41,360.57
Other operating income,204.15,264.01,318.47
Total operating income,"10,329.75","9,399.14","10,884.52"
Impairment charge/(reversal) for loans and other losses,"1,453.82","2,037.97","1,638.17"
Net operating income,"8,875.93","7,361.17","9,246.35"
Personnel expenses,"2,689.18","2,634.45","3,012.76"
Other operating expenses,"1,192.03","1,015.55","1,109.00"
Depreciation & Amortization,319.40,458.07,384.59
Operating Profit,"4,675.32","3,253.10","4,739.99"
Non operating income,9.99,3.44,3.95
Non operating expense,76.15,20.99,658.75
Profit before income tax,"4,609.16","3,235.55","4,085.19"
Income Tax Expense,-,-,-
Current Tax,"1,434.85","1,025.73","1,271.73"
Deferred Tax expense/(Income),(48.24),(34.58),(41.17)
Profit for the period,"3,222.55","2,244.40","2,854.64"
