0,1,2,3
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"9,374.68","10,389.43","13,301.68"
Interest Expenses,"5,578.93","6,212.02","7,508.60"
Net Interest Income,"3,795.75","4,177.41","5,793.08"
Fee and commission income,531.12,522.73,673.59
Fee and commission expense,46.49,51.43,74.94
Net Fee and commission income,484.62,471.30,598.65
"Net Interest, Fee and commission income","4,280.37","4,648.71","6,391.73"
Net trading income,277.92,328.09,297.13
Other operating income,102.53,163.02,390.18
Total operating income,"4,660.83","5,139.82","7,079.04"
Impairment charge/(reversal) for loans and other losses,426.62,806.44,820.93
Net operating income,"4,234.21","4,333.38","6,258.11"
Personnel expenses,"1,154.14","1,260.16","1,858.64"
Other operating expenses,629.16,692.33,879.01
Depreciation &Amortization,116.44,145.61,231.83
Operating Profit,"2,334.46","2,235.28","3,288.63"
Non operating income,8.15,17.53,39.30
Non operating expense,19.67,8.15,44.54
Profit before income tax,"2,322.95","2,244.66","3,283.39"
Income Tax Expense,,,
Current Tax,709.30,669.78,"1,010.97"
Deferred Tax,16.04,(11.33),(53.00)
Profit/Loss for the period,"1,629.69","1,586.21","2,325.43"
