0,1,2,3
Liabilities,"101,335.78","98,516.64","105,220.61"
Due to Bank and Financial Institutions,"4,246.47","8,426.45","8,223.67"
Due to Nepal Rastra Bank,,-                621.51,514.99
Derivative financial instruments,1.17,20.81,0.19
Deposits from customers,"95,020.84","87,564.22","93,721.92"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,37.40,19.60,-
Deferred tax liabilities,,-                  20.07,-
Other liabilities,"2,029.90","1,844.00","2,759.85"
Debt securities issued,-,-,-
Subordinated Liabilities,-,-,-
,,,
Equity,"15,102.50","16,222.12","18,135.10"
Share capital,"8,011.43","8,572.23","9,429.45"
Share premium,-,-,-
Retained earnings,"1,517.92","1,776.75","2,197.90"
Reserves,"5,573.14","5,873.13","6,507.75"
,,,
Total Liabilities and Equity,"116,438.27","114,738.76","123,355.71"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"6,569.46","5,320.63","7,527.92"
Interest Expense,"3,113.44","2,726.84","3,787.46"
Net Interest Income,"3,456.02","2,593.79","3,740.46"
Fee and commission income,797.74,739.04,989.62
Fee and commission expense,40.96,38.74,56.98
Net Fee and commission income,756.78,700.30,932.64
"Net Interest, Fee and commission income","4,212.79","3,294.10","4,673.11"
Net trading income,580.80,759.05,657.44
Other operating income,179.23,10.52,2.92
Total operating income,"4,972.83","4,063.66","5,333.47"
Impairment charge/(reversal) for loans and other losses,439.07,408.38,134.31
Net operating income,"4,533.76","3,655.28","5,199.16"
Personnel expenses,"1,104.24","1,052.26","1,268.00"
Other operating expenses,530.30,526.33,542.07
Depreciation and amortization,51.86,64.11,148.64
Operating Profit,"2,847.37","2,012.59","3,240.45"
Non-operating income,-,-,-
Non-operating expense,9.85,5.00,8.49
Profit before income tax,"2,837.51","2,007.59","3,231.96"
Income Tax Expense,,,-
Current Tax,810.79,598.72,"1,019.49"
