0,1,2,3
Derivative financial instruments,-,-,-
Deposits from customers,"118,921.05","136,585.58","149,392.28"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,"1,332.97",868.93,865.21
Other liabilities,"2,410.74","4,069.77","3,024.07"
Debt securities issued,"1,550.00","1,250.00","3,250.00"
Subordinated Liabilities,,,-
Equity,"24,156.97","24,871.02","25,579.20"
Share capital,"9,240.38","10,645.60","12,869.75"
Share premium,"1,718.45","1,718.45",105.65
Retained earnings,"5,102.45","2,735.03","2,064.66"
Reserves,"8,095.69","9,771.94","10,539.14"
TOTAL EQUITY AND LIABILITIES,"155,361.35","171,893.55","185,841.99"
Interest Income,9440.73,13574.10,14975.21
Interest Expenses,4464.55,7723.92,8801.71
Net Interest Income,4976.17,5850.18,6173.51
Fee and commission income,1343.25,1429.75,1442.87
Fee and commission expense,188.98,211.92,339.74
Net Fee and commission income,1154.26,1217.83,1103.13
"Net Interest, Fee and commission income",6130.44,7068.01,7276.64
Net trading income,617.68,654.48,890.84
Other operating income,144.19,208.30,180.33
Total operating income,6892.30,7930.79,8347.81
Impairment charge/(reversal) for loans and other losses,385.34,675.21,1596.61
Net operating income,6506.96,7255.58,6751.2
Personnel expenses,1130.51,1467.84,1546.16
Other operating expenses,534.03,641.03,854.24
Depreciation & Amortisation,161.54,187.80,217.42
Operating Profit,4680.88,4958.92,4133.37
Non operating income,734.25,48.28,650.92
Non operating expense,3.87,66.98,297.76
Profit before income tax,5411.26,4940.22,4486.53
Income Tax Expense,,,
Current Tax,1371.12,1464.51,1153.11
Deferred Tax,47.80,-183.61,9.31
Profit/Loss for the period,3992.34,3659.32,3324.11
