0,1,2,3
Net operating income,"5,851.65","5,718.66           4,987.98",
Personnel expenses,"1,923.72","2,120.53             2,085.35",
Other operating expenses,"1,096.38",801.94                820.12,
Depreciation & Amortization,376.43,415.65                416.62,
Operating Profit,"2,455.11","2,380.54           1,665.89",
Non operating income,34.47,8.93                  85.32,
Non operating expense,62.89,54.23                  97.37,
Profit before income tax,"2,426.69","2,335.24           1,653.84",
Income Tax Expense,,,-                          -
Current Tax,746.99,745.23                680.10,
Deferred Tax,(6.95),(35.51)                (71.46),
Profit for the year,"1,686.66","1,625.53           1,045.20",
