0,1,2,3
Particulars,2017-18,2018-19,2019-20
Deferred tax liabilities,387.17,417.76,-
Other liabilities,"1,597.70","4,602.86","4,215.40"
Debt securities issued,-,-,"1,000.00"
Subordinated Liabilities,-,-,-
Equity,-,"14,566.58","15,606.82"
Share capital,"8,233.95","8,892.68","10,315.51"
Share premium,151.95,-,-
Retained earnings,773.63,"1,795.54","1,105.82"
Reserves,"3,410.72","3,878.37","4,185.50"
TOTAL EQUITY AND LIABILITIES,"112,586.17","133,906.16","167,726.50"
Interest Income,"8,244.60","10,934.93","11,920.87"
Interest Expenses,"5,426.59","6,365.00","7,275.06"
Net Interest Income,"2,818.00","4,569.32","4,645.81"
Fee and commission income,614.14,731.92,925.05
Fee and commission expense,70.96,72.38,105.84
Net Fee and commission income,543.18,659.55,819.20
"Net Interest, Fee and commission income","3,361.18","5,228.87","5,465.02"
Net trading income,341.15,366.92,393.48
Other operating income,54.69,197.66,73.56
Total operating income,"3,757.02","5,793.45","5,932.05"
Impairment charge/(reversal) for loans and other losses,(154.55),84.44,252.94
Net operating income,"3,911.58","5,877.89","5,679.12"
Personnel expenses,"1,348.63","1,789.21","2,090.16"
Other operating expenses,617.80,994.46,"1,228.72"
Depreciation & Amortization,201.13,226.52,267.55
Operating Profit,"1,744.01","2,867.69","2,092.68"
Non-operating income,6.50,8.71,5.58
Non-operating expense,400.06,167.32,31.07
Profit before income tax,"1,350.45","2,709.09","2,067.19"
Income Tax Expense,-,-,700.22
Current Tax,288.04,622.95,701.46
Deferred Tax,95.37,35.58,(1.25)
Profit/Loss for the period,967.03,"2,050.56","1,366.97"
