0,1,2,3
20. Sanima Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,FY 2022-23,FY 2023-24,FY 2024-25
ASSETS,,,
Cash and cash equivalent,"5,290.59","13,072.49","20,360.78"
Due from Nepal Rastra Bank,"10,368.10","14,237.36","19,875.52"
Placement with Bank and Financial Institutions,"1,056.57",591.04,"3,455.16"
Derivative financial instruments,-,-,-
Other trading assets,414.84,319.68,429.61
Loan and advances to B/FIs,"4,445.16","5,527.77","7,014.13"
Loans and advances to customers,"145,424.94","159,414.74","176,440.51"
