0,1,2,3
Particulars,2017-18,2018-19,2019-20
Borrowing,-,"3,468.06","3,416.31"
Current Tax Liabilities,824.30,35.58,-
Provisions,9.08,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"1,406.00","2,145.96","3,209.68"
Debt securities issued,517.55,"2,239.24","2,279.83"
Subordinated Liabilities,-,-,-
Equity,"16,489.81","17,403.02","20,866.45"
Share capital,"7,603.29","9,618.16","13,950.99"
Share premium,"4,061.37","2,512.80",120.17
Retained earnings,"2,339.18","1,780.33",964.01
Reserves,"2,485.97","3,491.73","5,831.29"
TOTAL EQUITY AND LIABILITIES,"112,391.43","135,470.41","179,423.37"
Interest Income,"8,728.70","11,082.06","14,472.37"
Interest Expenses,"5,824.69","6,838.04","8,946.75"
Net Interest Income,"2,904.01","4,244.02","5,525.61"
Fee and commission income,794.25,"1,003.53",914.17
Fee and commission expense,62.71,93.96,106.92
Net Fee and commission income,731.54,909.58,807.25
"Net Interest, Fee and commission income","3,635.56","5,153.60","6,332.86"
Net trading income,299.61,352.05,384.16
Other operating income,164.96,210.37,218.04
Total operating income,"4,100.12","5,716.02","6,935.05"
Impairment charge/(reversal) for loans and other losses,(219.65),166.27,"1,619.61"
Net operating income,"4,319.78","5,549.75","5,315.45"
Personnel expenses,"1,021.57","1,415.79","1,706.50"
Other operating expenses,589.39,708.66,932.26
Depreciation &Amortization,147.70,176.80,242.02
Operating Profit,"2,561.12","3,248.50","2,434.66"
Non-operating income,43.14,17.10,627.15
Non-operating expense,37.94,17.60,59.90
Profit before income tax,"2,566.32","3,248.00","3,001.91"
Income Tax Expense,-,-,731.24
Current Tax,829.62,994.17,731.24
Deferred Tax,(117.09),(3.44),-
Profit/Loss for the period,"1,853.79","2,257.28","2,270.67"
