0,1,2,3
Investment property,37.33,108.98,105.94
Property and equipment,"1,345.86","1,391.83","1,335.67"
Goodwill and Intangible assets,54.66,90.19,76.49
Deferred tax assets,-,-,-
Other assets,"1,129.18","1,200.00","1,653.54"
TOTAL ASSETS,"106,995.72","128,898.57","152,240.86"
,,-,-
Liabilities,"94,345.68","114,923.51","135,344.10"
Due to Bank and Financial Institutions,"6,554.76","2,979.39","2,826.27"
Due to Nepal Rastra Bank,"1,229.86",500.46,"4,364.95"
Derivative financial instruments,"5,046.11","6,181.98","6,050.42"
Deposits from customers,"80,324.63","98,370.76","114,605.49"
Borrowing,-,"3,634.80","3,591.57"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,98.91,235.55,888.96
Other liabilities,690.01,"1,012.39","1,008.23"
Debt securities issued,401.40,"2,008.20","2,008.22"
Subordinated Liabilities,-,-,-
Equity,"12,650.04","13,975.06","16,896.76"
Share capital,"8,920.51","9,812.56","10,695.69"
Share premium,-,-,-
Retained earnings,"1,453.37","1,310.24","1,262.94"
Reserves,"2,276.16","2,852.26","4,938.13"
TOTAL EQUITY AND LIABILITIES,"106,995.72","128,898.57","152,240.86"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"8,942.67","10,182.24","9,377.43"
Interest Expenses,"5,772.99","6,720.07","5,920.59"
Net Interest Income,"3,169.67","3,462.17","3,456.84"
Fee and commission income,740.71,809.23,979.86
Fee and commission expense,78.43,101.13,104.30
Net Fee and commission income,662.29,708.10,875.56
"Net Interest, Fee and commission income","3,831.96","4,170.26","4,332.40"
Net trading income,360.98,332.90,340.54
Other operating income,112.88,103.18,500.37
Total operating income,"4,305.82","4,606.34","5,173.31"
Impairment charge/(reversal) for loans and other losses,127.52,475.24,492.21
Net operating income,"4,178.31","4,131.10","4,681.10"
Personnel expenses,"1,133.81","1,232.79","1,573.59"
Other operating expenses,618.33,706.64,682.48
Depreciation & Amortization,133.82,166.91,188.94
Operating Profit,"2,292.33","2,024.75","2,236.09"
Non operating income,10.62,15.63,4.45
Non operating expense,61.81,47.94,11.45
Profit before income tax,"2,241.14","1,992.44","2,229.09"
Income Tax Expense,,,
Current Tax,657.10,598.33,674.67
Deferred Tax,(6.03),(17.43),(21.34)
Profit/Loss for the period,"1,590.07","1,411.55","1,575.76"
