0,1,2,3
Fees and commission income,"1,914.29","2,217.83","2,744.14"
Fees and commission expense,380.25,535.52,683.57
Net fee and commission income,"1,534.04","1,682.31","2,060.57"
"Net interest, fee and commission income","10,673.16","11,971.87","19,167.56"
Net trading income,666.46,594.21,474.60
Other operating income,611.28,472.85,215.03
Total operating income,"11,950.90","13,038.92","19,857.19"
Impairment charge/(reversal) for loans and other losses,"1,125.26",466.43,"3,426.14"
Net operating income,"10,825.64","12,572.49","16,431.05"
Personnel expenses,"3,164.82","3,290.73","4,234.42"
Other operating expenses,"1,369.43","1,446.86","1,875.36"
Depreciation and Amortization,333.86,647.13,790.77
Operating Profit,"5,957.53","7,187.77","9,530.50"
Non-operating income,10.55,3.27,8.53
Non-operating expense,-,164.46,273.50
Profit before income tax,"5,968.08","7,026.58","9,265.52"
Income Tax Expense,,,-
Current Tax,"1,844.54","2,165.53","2,788.10"
Deferred Tax,(41.62),(98.17),(216.94)
Profit for the period,"4,165.15","4,959.22","6,694.36"
