0,1,2,3
Reserves,"5,720.21","6,510.11","6,473.68"
,,,
Total Liabilities and Equity,"155,884.92","178,490.93","216,286.27"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"12,178.99","10,370.84","16,565.85"
Interest Expense,"7,357.29","6,582.12","11,622.53"
Net Interest Income,"4,821.70","3,788.72","4,943.32"
Fee and commission income,748.84,778.66,"1,019.04"
Fee and Commission Expenses,62.10,80.48,105.47
Net Fee and commission income,686.74,698.18,913.57
"Net Interest, Fee and commission income","5,508.44","4,486.90","5,856.89"
Net trading income,764.97,655.01,595.91
Other operating income,145.40,"2,227.73",126.40
Total Operating Income,"6,418.81","7,369.63","6,579.20"
Impairment charges/(reversal) for Loans and Other losses,305.63,145.32,"1,280.86"
Net operating income,"6,113.18","7,224.31","5,298.33"
Personnel expenses,"1,651.12","1,859.37","1,628.05"
Other operating expenses,870.17,870.90,758.71
Depreciation &Amortization,180.32,186.18,355.28
Operating Profit,"3,411.57","4,307.87","2,556.28"
Non-operating income,398.08,18.34,860.05
Non-operating expense,251.26,66.89,19.50
Profit before income tax,"3,558.39","4,259.31","3,396.83"
Income Tax Expense,,,-
Current Tax,979.25,"1,277.00","1,054.86"
Deferred Tax,(7.59),(16.31),(25.57)
Profit for the Period,"2,586.72","2,998.62","2,367.54"
