0,1,2,3
Derivative financial instruments,"1,899.98","5,190.19","11,138.52"
Other trading assets,68.19,-,-
Loan and advances to B/FIs,"7,687.48","7,992.35","8,233.95"
Loans and advances to customers,"247,870.14","247,408.11","274,963.66"
Investment securities,"53,360.55","87,110.57","98,415.99"
Current tax assets,189.29,893.17,87.26
Investment in subsidiaries,893.17,-,893.17
Investment in associates,-,129.71,-
Investment property,"1,275.16","1,563.13","2,192.01"
Property and equipment,"4,864.93","4,562.52","4,823.06"
Goodwill and Intangible assets,523.75,602.06,592.70
Deferred tax assets,-,-,-
Other assets,"3,379.27","3,765.92","6,618.72"
TOTAL ASSETS,"361,665.77","395,961.89","443,587.71"
Liabilities,"323,440.84","355,460.46","398,203.60"
Due to Bank and Financial Institutions,"4,067.00","4,468.97","5,529.23"
Due to Nepal Rastra Bank,-,-,-
Derivative financial instruments,"1,896.71","5,179.64","11,140.48"
Deposits from customers,"296,243.48","328,931.51","367,053.71"
Borrowing,"5,080.62","3,980.64",548.49
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,242.70,298.02,562.96
Other liabilities,"7,910.33","5,601.68","6,368.73"
Debt securities issued,"8,000.00","7,000.00","7,000.00"
Subordinated Liabilities,-,-,-
Equity,"38,224.93","40,501.44","45,384.11"
Share capital,"21,670.24","23,187.15","24,346.51"
Share premium,-,-,-
Retained earnings,"1,728.33","1,241.68","2,964.36"
Reserves,"14,826.36","16,072.61","18,073.24"
Total liabilities and equity,"361,665.77","395,961.89","443,587.71"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"19,066.47","35,924.61","28,929.62"
