0,1,2,3
2. Rastriya Banijya Bank,Amt. in Rs. Million,,
Statement of Financial Position,FY 2022-23,FY 2023-24,FY 2024-25
ASSETS,,,
Cash and cash equivalent,"9,789.49","13,829.18","24,419.43"
Due from Nepal Rastra Bank,"22,675.06","35,651.22","56,906.90"
Placement with Bank and Financial Institutions,-,-,-
Derivative financial instruments,2.73,"3,750.23","5,432.89"
Other trading assets,-,-,-
Loan and advances to B/FIs,"15,633.03","11,951.00","10,184.82"
Loans and advances to customers,"227,308.98","245,595.47","292,337.16"
Investment securities,"76,090.63","151,611.08","148,090.72"
Current tax assets,"4,816.61","5,454.87","6,513.49"
Investment in subsidiaries,400.00,400.00,400.00
Investment in associates,809.44,884.91,885.19
Investment property,196.98,305.59,319.95
Property and equipment,"30,362.09","30,467.34","30,406.33"
Goodwill and Intangible assets,50.45,31.92,53.03
Deferred tax assets,-,-,-
Other assets,"5,886.22","9,249.18","9,696.05"
TOTAL ASSETS,"394,021.73","509,181.97","585,645.96"
Liabilities,"343,283.42","458,944.67","533,467.07"
Due to Bank and Financial Institution,"1,329.69","1,527.09","2,376.07"
