0,1,2,3
TOTAL ASSETS,"93,074.42","112,391.43","135,470.41"
Due to Bank and Financial Institutions,906.40,1036.27,624.36
Due to Nepal Rastra Bank,1110.56,660.07,"3,203.52"
Derivative financial instruments,5393.03,7477.48,"8,458.37"
Deposits from customers,72317.67,83970.87,"97,892.30"
Borrowing,55.35,0.00,"3,468.06"
Current Tax Liabilities,588.77,824.30,35.58
Provisions,9.80,9.08,-
Deferred tax liabilities,69.20,0.00,-
Other liabilities,1203.84,1406.00,"2,145.96"
Debt securities issued,517.55,517.55,"2,239.24"
Subordinated Liabilities,0.00,0.00,-
Equity,,,
Share capital,6461.77,7603.29,"9,618.16"
Share premium,1424.86,4061.37,"2,512.80"
Retained earnings,1364.95,2339.18,"1,780.33"
Reserves,1650.68,2485.97,"3,491.73"
TOTAL EQUITY AND LIABILITIES,93074.42,112391.43,"135,470.41"
Interest Income,6109.33,8728.70,"11,082.06"
Interest Expenses,3505.35,5824.69,"6,838.04"
Net Interest Income,2603.98,2904.01,"4,244.02"
Fee and commission income,635.07,794.25,"1,003.53"
Fee and commission expense,51.08,62.71,93.96
Net Fee and commission income,583.99,731.54,909.58
"Net Interest, Fee and commission income",3187.97,3635.56,"5,153.60"
Net trading income,154.79,299.61,352.05
Other operating income,121.98,164.96,210.37
Total operating income,3464.73,4100.12,"5,716.02"
Impairment charge/(reversal) for loans and other losses,13.57,-219.65,166.27
Net operating income,3451.16,4319.78,"5,549.75"
Personnel expenses,826.87,1021.57,"1,415.79"
Other operating expenses,492.21,589.39,708.66
Depreciation & Amortisation,115.78,147.70,176.80
Operating Profit,2016.29,2561.12,"3,248.50"
Non operating income,136.35,43.14,17.10
Non operating expense,48.23,37.94,17.60
Profit before income tax,2104.42,2566.32,"3,248.00"
Income Tax Expense,,,-
Current Tax,589.30,829.62,994.17
