0,1,2,3
21. Prime Commercial Bank Limited,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"4,502.74","5,304.76","10,379.97"
Due from Nepal Rastra Bank,"8,815.84","7,807.98","8,716.15"
Placement with Bank and Financial Institutions,"1,960.45","1,118.73","2,260.12"
Derivative financial instruments,-,-,-
Other trading assets,-,-,-
Loan and advances to B/FIs,"2,829.04","3,014.81","4,122.88"
Loans and advances to customers,"67,137.82","72,545.40","110,454.30"
Investment securities,"8,428.08","10,142.16","13,684.28"
Current tax assets,153.62,112.53,172.84
Investment in subsidiaries,-,-,-
Investment in associates,28.00,51.02,60.02
Investment property,15.53,242.56,495.84
Property and equipment,606.76,743.98,"1,065.44"
Goodwill and Intangible assets,5.28,7.71,16.00
Deferred tax assets,33.16,74.33,48.83
