0,1,2,3
3. Nabil Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"4,799.63","7,285.64","11,051.54"
Due from Nepal Rastra Bank,"20,021.03","8,024.17","13,037.24"
Placement with Bank and Financial Institutions,"10,230.58","9,865.21","8,870.90"
Derivative financial instruments,"10,859.60","13,615.33","1,373.61"
Other trading assets,-,,-                   29.73
Loan and advances to B/FIs,"5,836.37","8,601.57","10,366.94"
Loans and advances to customers,"148,054.07","198,021.42","300,205.65"
Investment securities,"33,633.40","39,889.09","62,455.04"
Current tax assets,260.80,307.01,606.48
Investment in subsidiaries,78.00,78.00,298.00
Investment in associates,80.00,80.00,80.00
Investment property,8.22,8.75,"1,318.60"
Property and equipment,"1,318.11","1,692.63","3,536.10"
Goodwill and Intangible assets,71.75,62.65,291.72
Deferred tax assets,-,-,-
Other assets,"2,428.48","3,534.74","6,296.55"
,,,
Total Assets,"237,680.03","291,066.22","419,818.10"
,-,-,
Liabilities,"211,824.37","257,208.12","366,836.35"
Due to bank and financial institutions,"2,228.86","4,502.71","3,353.61"
Due to Nepal Rastra Bank,53.29,"5,450.39","4,657.44"
Derivative financial instruments,"10,764.20","13,634.23","1,390.74"
Deposits from customers,"190,806.47","223,474.47","326,222.31"
Borrowing,-,,"-            10,720.73"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,"1,438.83","1,346.34","1,778.50"
