0,1,2,3
Investment securities,"26,362.13","17,833.70","13,578.33"
Current tax assets,152.50,-,354.86
Investment in subsidiaries,-,-,-
Investment in associates,-,281.08,-
Investment property,-,-,-
Property and equipment,568.14,465.52,378.22
Goodwill and Intangible assets,-,-,-
Deferred tax assets,10.31,93.66,106.55
Other assets,"1,681.16","1,631.27","2,005.56"
TOTAL ASSETS,"151,378.01","141,189.07","155,879.40"
,-,-,
Liabilities,"131,235.32","120,670.25","134,208.06"
Due to Bank and Financial Institutions,"4,992.30","2,341.88","2,068.77"
Due to Nepal Rastra Bank,-,-,-
Derivative financial instruments,88.85,4.30,15.83
Deposits from customers,"117,500.98","112,483.89","125,338.85"
Borrowing,"2,630.60",-,700.00
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"3,528.73","3,316.24","3,560.00"
Debt securities issued,"2,493.87","2,523.94","2,524.62"
Subordinated Liabilities,-,-,-
Equity,"20,142.69","20,518.82","21,671.35"
Share capital,"9,429.45","9,429.45","10,042.37"
Share premium,-,-,-
Retained earnings,"2,710.56","2,461.56","1,996.37"
Reserves,"8,002.68","8,627.81","9,632.61"
Total liabilities and equity,"151,378.01","141,189.07","155,879.40"
