0,1,2,3,4,5,6
,Bank,Total Outstanding Loan Prior to 6 Months   (Rs. in million),Minimum Required Deprived Sector Lending (5%),Actual Lending in Deprived Sector (Rs. in million),Actual Lending in Deprived Sector (%),Excess/ (Shortfall) (%)
1,Nepal Bank Ltd.,"190,282","9,514","11,990",6.30,1.3
2,Rastriya Banijya Bank Ltd.,"256,705","12,835","20,711",8.07,3.07
3,Nabil Bank Ltd.,"375,013","18,751","19,966",5.32,0.32
4,Nepal Investment Bank Ltd.,"330,584","16,529","17,688",5.35,0.35
5,Standard Chartered Bank Ltd.,"91,830","4,592","4,815",5.24,0.24
6,Himalayan Bank Ltd.,"249,952","12,498","12,673",5.07,0.07
7,Nepal SBI Bank Ltd.,"128,153","6,408","7,489",5.84,0.84
8,Everest Bank Ltd.,"176,790","8,840","9,161",5.18,0.18
9,NIC Asia Bank Ltd,"302,656","15,133","15,435",5.10,0.1
10,Machhapuchhre Bank Ltd.,"132,823","6,641","6,684",5.03,0.03
11,Kumari Bank Ltd.,"294,152","14,708","15,065",5.12,0.12
12,Laxmi Bank Ltd.,"256,243","12,812","14,692",5.73,0.73
13,Siddharth Bank Ltd.,"198,723","9,936","10,077",5.07,0.07
14,Agricultural Development Bank Ltd.,"192,133","9,607","26,209",13.64,8.64
15,Global IME Bank Ltd.,"385,930","19,297","20,568",5.33,0.33
16,Citizens Bank International Ltd.,"152,164","7,608","14,438",9.49,4.49
17,Prime Commercial Bank Ltd.,"183,008","9,150","11,171",6.10,1.1
18,NMB Bank Ltd.,"202,522","10,126","10,743",5.30,0.3
19,Prabhu Bank Ltd.,"239,150","11,957","12,907",5.39,0.39
20,Sanima Bank Ltd.,"157,028","7,851","8,416",5.36,0.36
,Total,"4,495,841","224,792","270,891",6.03,1.03
