0,1,2,3
Investment securities,"16,973.47","26,078.44","35,168.05"
Current tax assets,501.18,715.88,586.04
Investment in subsidiaries,171.50,171.50,171.50
Investment in associates,82.36,82.36,82.36
Investment property,214.09,265.98,601.85
Property and equipment,"4,042.46","4,010.98","4,076.39"
Goodwill and Intangible assets,90.63,124.62,112.24
Deferred tax assets,-,-,-
Other assets,"3,307.98","1,613.01","2,616.67"
TOTAL ASSETS,"185,841.99","203,023.90","227,930.13"
,,-,
Liabilities,"160,262.79","175,850.73","195,695.22"
Due to Bank and Financial Institutions,"2,790.96","2,462.22","4,840.27"
Due to Nepal Rastra Bank,940.27,2.72,"3,575.65"
Derivative financial instruments,-,-,-
Deposits from customers,"149,392.28","166,362.13","174,557.70"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,865.21,968.73,"1,792.92"
Other liabilities,"3,024.07","2,804.94","4,178.68"
Debt securities issued,"3,250.00","3,250.00","6,750.00"
Subordinated Liabilities,-,-,-
Equity,"25,579.20","27,173.16","32,234.91"
Share capital,"12,869.75","14,248.95","16,257.33"
Share premium,105.65,32.60,4.80
Retained earnings,"2,064.66","2,622.39","1,836.62"
Reserves,"10,539.14","10,269.22","14,136.17"
TOTAL EQUITY AND LIABILITIES,"185,841.99","203,023.90","227,930.13"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"14,975.21","15,201.33","13,712.05"
Interest Expenses,"8,801.71","9,423.66","8,118.99"
Net Interest Income,"6,173.51","5,777.67","5,593.05"
Fee and commission income,"1,442.87","1,513.16","1,362.04"
Fee and commission expense,339.74,316.00,245.40
Net Fee and commission income,"1,103.13","1,197.17","1,116.64"
"Net Interest, Fee and commission income","7,276.64","6,974.83","6,709.69"
Net trading income,890.84,871.87,747.86
Other operating income,180.33,230.12,937.46
Total operating income,"8,347.81","8,076.83","8,395.02"
Impairment charge/(reversal) for loans and other losses,"(1,596.61)","(1,997.25)",(441.67)
Net operating income,"6,751.20","6,079.59","7,953.35"
Personnel expenses,"1,546.16","1,442.95","1,708.09"
Other operating expenses,854.24,862.10,865.49
Depreciation &Amortization,217.42,259.30,260.24
Operating Profit,"4,133.37","3,515.24","5,119.52"
Non operating income,650.92,3.32,4.08
Non operating expense,297.76,6.29,64.73
Profit before income tax,"4,486.53","3,512.27","5,058.87"
Income Tax Expense,,-,
Current Tax,"1,153.11","1,087.06","1,531.31"
