0,1,2,3
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"294,095.98","321,768.16","315,506.97"
Interest Expenses,"183,196.58","207,682.34","200,860.94"
Net Interest Income,"125,468.58","131,520.68","131,999.92"
Fee and commission income,"30,093.15","31,166.88","34,196.24"
Fee and commission expense,"3,388.11","3,337.15","4,055.64"
Net Fee and commission income,"21,600.23","23,045.21","24,741.28"
"Net Interest, Fee and commission income","143,831.27","149,360.30","152,093.56"
Net trading income,"16,571.27","15,853.09","18,707.67"
Other operating income,"3,298.46","4,048.68","11,880.55"
Total operating income,"155,391.08","162,132.03","174,456.90"
Impairment charge/(reversal) for loans and other losses,"11,028.20","21,903.12","18,994.67"
Net operating income,"149,618.31","143,891.82","162,840.24"
Personnel expenses,"46,846.07","49,367.74","57,687.83"
Other operating expenses,"21,185.30","23,678.08","24,012.23"
Depreciation &Amortization,"4,526.49","5,212.56","6,132.20"
Operating Profit,"86,592.49","74,090.37","85,545.45"
Non operating income,"6,466.14","4,231.04","5,351.97"
Non operating expense,"1,185.48","1,058.78","1,244.70"
Profit before income tax,"80,254.31","74,191.16","85,352.64"
Income Tax Expense,"4,611.66","4,643.28","6,107.23"
Current Tax,"25,334.07","21,850.61","25,670.42"
Deferred Tax,"2,225.74","1,375.55","1,361.49"
Profit/Loss for the period,"62,138.03","52,207.28","59,931.93"
