0,1,2,3
2. Rastriya Banijya Bank,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalent,"7,880.10","9,789.49","13,829.18"
Due from Nepal Rastra Bank,"16,423.32","22,675.06","35,651.22"
Placement with Bank and Financial Institutions,-,-,-
Derivative financial instruments,-,2.73,"3,750.23"
Other trading assets,-,-,-
Loan and advances to B/FIs,"16,533.78","15,633.03","11,951.00"
Loans and advances to customers,"210,183.76","227,308.98","245,595.47"
Investment securities,"65,377.12","76,090.63","151,611.08"
Current tax assets,"3,636.50","4,816.61",400.00
Investment in subsidiaries,200.00,400.00,884.91
Investment in associates,206.11,809.44,"5,454.87"
Investment property,177.27,196.98,305.59
Property and equipment,"3,167.48","30,362.09","30,467.34"
Goodwill and Intangible assets,52.41,50.45,31.92
Deferred tax assets,-,-,-
Other assets,"6,404.96","5,886.22","9,249.18"
TOTAL ASSETS,"330,242.80","394,021.73","509,181.97"
Liabilities,"297,563.87","343,283.42","458,944.67"
Due to Bank and Financial Institution,"4,748.84","1,329.69","1,527.09"
Due to Nepal Rastra Bank,"24,060.74",-,-
Derivative financial instruments,-,-,"3,735.20"
Deposits from customers,"258,144.30","321,654.94","429,187.76"
Borrowing,60.00,60.00,60.00
Current Tax Liabilities,-,-,-
Provisions,375.72,322.49,331.44
Deferred tax liabilities,320.00,"7,454.99","7,021.69"
Other liabilities,"7,247.15","9,960.72","14,580.91"
Debt securities issued,"2,607.12","2,500.58","2,500.58"
Subordinated Liabilities,-,-,
Equity,"32,678.94","50,738.31","50,237.30"
Share capital,"14,940.36","15,637.38","15,637.38"
Share premium,-,-,-
Retained earnings,"1,863.44",918.41,"(1,222.15)"
Reserves,"15,875.14","34,182.52","35,822.07"
Total liabilities and equity,"330,242.80","394,021.73","509,181.97"
