0,1,2,3
TOTAL EQUITY AND LIABILITIES,"102,255.83","152,182.99","190,537.22"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"9,822.37","12,233.26","14,009.66"
Interest Expenses,"6,237.76","7,592.64","8,060.77"
Net Interest Income,"3,584.61","4,640.62","5,948.89"
Fee and commission income,766.87,902.77,"1,408.06"
Fee and commission expense,51.28,71.33,105.27
Net Fee and commission income,715.60,831.43,"1,302.79"
"Net Interest, Fee and commission income","4,300.20","5,472.05","7,251.68"
Net trading income,234.44,267.53,321.27
Other operating income,70.41,61.91,269.72
Total operating income,"4,605.05","5,801.49","7,842.66"
Impairment charge/(reversal) for loans and other losses,135.34,766.21,769.30
Net operating income,"4,469.71","5,035.28","7,073.37"
Personnel expenses,888.34,"1,093.78","1,591.34"
Other operating expenses,350.95,532.52,612.31
Depreciation & Amortization,80.92,140.44,184.38
Operating Profit,"3,149.52","3,268.54","4,685.33"
Non operating income,-,-,-
Non operating expense,-,-,-
Profit before income tax,"3,149.52","3,268.54","4,685.33"
Income Tax Expense,,-,-
Current Tax,990.82,993.52,"1,502.61"
Deferred Tax,(40.09),23.55,(85.67)
Profit/Loss for the period,"2,198.80","2,251.48","3,268.40"
