0,1,2,3
Other trading assets,0.00,0.00,-
Loan and advances to B/FIs,1139.16,1778.93,"3,066.05"
Loans and advances to customers,43557.02,60596.58,"73,120.31"
Investment securities,4728.82,8802.90,"9,121.57"
Current tax assets,45.25,113.78,16.11
Investment in susidiaries,0.00,200.00,200.00
Investment in associates,20.00,20.00,20.00
Investment property,160.18,134.17,88.42
Property and equipment,350.65,434.30,661.73
Goodwill and Intangible assets,7.42,110.45,97.39
Deferred tax assets,0.00,0.00,47.80
Other assets,254.82,454.92,887.97
TOTAL ASSETS,61416.16,82723.55,"100,256.68"
Due to Bank and Financial Institutions,3333.55,10104.19,"12,168.48"
Due to Nepal Rastra Bank,1019.29,539.56,"1,433.25"
Derivative financial instruments,0.00,6.11,-
Deposits from customers,47691.77,59546.34,"73,201.35"
Borrowing,0.00,0.00,-
Current Tax Liabilities,0.00,0.00,-
Provisions,1.54,2.23,2.23
Deferred tax liabilities,96.11,20.76,-
Other liabilities,1010.54,1963.67,"1,583.82"
Debt securities issued,0.00,0.00,-
Subordinated Liabilities,0.00,0.00,-
Equity,,,
Share capital,5969.50,7163.39,"8,685.57"
Share premium,0.00,54.80,54.80
Retained earnings,1154.60,1527.64,977.46
Reserves,1139.27,1794.86,"2,149.71"
TOTAL EQUITY AND LIABILITIES,61416.16,82723.55,"100,256.68"
Interest Income,3736.88,6804.01,9217.98
Interest Expenses,2299.28,4771.33,6198.52
Net Interest Income,1437.60,2032.68,3019.46
Fee and commission income,278.88,396.82,454.87
Fee and commission expense,23.54,27.32,31.87
Net Fee and commission income,255.34,369.49,423.01
"Net Interest, Fee and commission income",1692.94,2402.17,3442.47
Net trading income,85.26,148.95,258.90
Other operating income,61.13,100.16,92.71
