0,1,2,3
Net operating income,"5,475.31","6,598.70","6,495.71"
Personnel expenses,"1,549.41","1,761.95","1,913.49"
Other operating expenses,625.43,704.68,749.84
Depreciation and amortization,345.91,361.74,361.49
Operating Profit,"2,954.56","3,770.33","3,470.89"
Non operating income,6.29,14.22,9.04
Non operating expense,12.04,54.99,99.59
Profit before income tax,"2,948.81","3,729.56","3,380.34"
Income Tax Expense,,-,-
Current Tax,"1,011.15","1,144.13","1,025.90"
Deferred Tax,(155.46),(20.36),(43.01)
Profit for the year,"2,093.12","2,605.79","2,397.44"
