0,1,2,3,4
Derivative financial instruments,"3,376.68",,"2,583.71",6.39
Deposits from customers,"57,512.41",,"88,634.88","94,490.97"
Borrowing,-,,-,-
Current Tax Liabilities,-,,-,-
Provisions,82.98,,55.65,-
Deferred tax liabilities,113.71,,75.35,50.09
Other liabilities,"1,731.00",,"2,584.90","3,931.30"
Debt securities issued,-,,,"-              2,984.31"
Subordinated Liabilities,-,,-,-
,,,,
Equity,"10,170.00",,"10,693.71","11,704.64"
Share capital,"8,003.39",,"8,643.66","9,075.84"
Share premium,-,,-,-
Retained earnings,723.00,,493.70,818.90
Reserves,"1,443.61",,"1,556.35","1,809.89"
,,,,
Total Liabilities and Equity,"76,845.52",,"109,962.96","117,581.99"
,,,,
Statement of Profit or Loss,FY 2019/20,,FY 2020/21,FY 2021/22
,,,,
Interest Income,"6,199.06",,"7,065.78","10,680.27"
Interest Expenses,"3,962.53",,"4,849.59","7,207.23"
Net Interest Income,"2,236.53",,"2,216.19","3,473.04"
Fee and commission income,300.68,,411.51,485.55
Fee and commission expense,27.03,,34.53,73.46
Net Fee and commission income,273.66,,376.98,412.09
"Net Interest, Fee and commission income","2,510.19",,"2,593.17","3,885.13"
Net trading income,229.85,,226.43,126.45
Other operating income,97.70,,166.09,28.55
Total operating income,"2,837.74",,"2,985.70","4,040.12"
Impairment charge/(reversal) for loans and other losses,223.65,,344.69,358.87
Net operating income,"2,614.10",,"2,641.01","3,681.25"
Personnel expenses,"1,040.79",,"1,098.91","1,346.46"
Other operating expenses,554.66,,540.46,460.44
Depreciation & Amortization,109.84,,118.34,261.07
Operating Profit,908.81,,883.29,"1,613.28"
Non-operating income,-,,29.72,0.53
Non-operating expense,29.75,,157.17,123.22
Profit before income tax,879.06,,755.85,"1,490.59"
Income Tax Expense,,,,-
Current Tax,368.93,,281.96,501.60
Deferred Tax,(44.93),,(53.90),(11.91)
Profit for the Period,555.06,,527.78,"1,000.90"
24. Nepal Credit and Commerce Bank Limited,,Amount (Rs. in Millions),,
