0,1,2,3
Consolidated Financials of the Public Banks,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"45,341.28","48,947.95","20,563.42"
Due from Nepal Rastra Bank,"24,199.81","30,944.39","32,940.49"
Placement with Bank and Financial Institutions,"2,965.49","8,286.38","11,173.18"
Derivative financial instruments,18.63,"5,713.17","6,660.22"
Other trading assets,-,-,37.21
Loan and advances to B/FIs,"7,280.45","9,142.99","8,829.10"
Loans and advances to customers,"293,000.79","345,682.98","378,448.56"
Investment securities,"52,964.08","54,409.31","131,233.42"
Current tax assets,"1,146.30","3,080.50","5,011.41"
Investment in subsidiaries,228.84,228.84,228.84
Investment in associates,299.47,271.39,167.24
Investment property,384.59,486.54,433.41
