0,1,2,3
,,,
Liabilities,"114,923.51","135,344.10","156,442.94"
Due to Bank and Financial Institutions,"2,979.39","2,826.27","1,182.34"
Due to Nepal Rastra Bank,500.46,"4,364.95","2,569.07"
Derivative financial instruments,"6,181.98","6,050.42",363.51
Deposits from customers,"98,370.76","114,605.49","139,537.10"
Borrowing,"3,634.80","3,591.57","6,433.11"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,235.55,888.96,234.18
Other liabilities,"1,012.39","1,008.23","2,107.41"
Debt securities issued,"2,008.20","2,008.22","4,016.22"
Subordinated Liabilities,-,-,-
,,,
Equity,"13,975.06","16,896.76","16,941.02"
Share capital,"9,812.56","10,695.69","11,551.35"
Share premium,-,-,-
Retained earnings,"1,310.24","1,262.94","1,200.80"
Reserves,"2,852.26","4,938.13","4,188.87"
,,,
Total Liabilities and Equity,"128,898.57","152,240.86","173,383.95"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"10,182.24","9,377.43","13,060.13"
Interest Expense,"6,720.07","5,920.59","9,299.76"
Net Interest Income,"3,462.17","3,456.84","3,760.37"
Fee and commission income,809.23,979.86,"1,156.58"
Fee and commission expense,101.13,104.30,199.46
Net Fee and commission income,708.10,875.56,957.11
"Net Interest, Fee and commission income","4,170.26","4,332.40","4,717.48"
Net trading income,332.90,340.54,270.71
Other operating income,103.18,500.37,338.50
Total operating income,"4,606.34","5,173.31","5,326.69"
Impairment charge/(reversal) for loans and other losses,475.24,492.21,554.17
Net operating income,"4,131.10","4,681.10","4,772.52"
Personnel expenses,"1,232.79","1,573.59","1,610.73"
Other operating expenses,706.64,682.48,677.87
Depreciation & Amortization,166.91,188.94,329.80
Operating Profit,"2,024.75","2,236.09","2,154.12"
Non-operating income,15.63,4.45,10.46
Non-operating expense,47.94,11.45,36.90
Profit before income tax,"1,992.44","2,229.09","2,127.67"
Income Tax Expense,,,-
