0,1,2,3,4,5,6,7
S.No.,Name of Banks,2017,2018,2019,2020,2021,2021
,,Mid-July,,,,,Mid-December
1,Nepal Bank Limited (NBL),130,140,173,211,252,260
2,Rastriya Banijya Bank Limited (RBBL),185,212,245,271,278,287
3,NABIL Bank Limited (NABIL),52,74,81,124,153,141
4,Nepal Investment Bank Limited (NIBL),61,89,105,109,116,119
5,Standard Chartered Bank Nepal Ltd. (SCBN),15,15,15,15,15,15
6,Himalayan Bank Limited (HBL),45,58,54,67,77,80
7,Nepal SBI Bank Limited (NSBI),66,83,108,108,108,108
8,Nepal Bangladesh Bank Limited (NBBL),46,72,97,105,108,111
9,Everest Bank Limited (EBL),60,90,95,99,107,109
10,Bank of Kathmandu Limited (BOK),75,83,96,99,101,103
11,Nepal Credit and Commerce Bank Limited (NCCBL),96,108,129,133,143,148
12,NIC Asia Bank Limited (NICA),118,237,330,424,427,429
13,Machhapuchchhre Bank Limited (MBL),56,88,132,165,168,171
14,Kumari Bank Limited (KBL),74,88,93,186,203,202
15,Laxmi Bank Limited (LBL),66,96,110,126,138,149
16,Siddhartha Bank Limited (SBL),70,121,156,186,189,189
17,Agriculture Development Bank (ADBL)*,249,250,264,268,282,286
18,Global IME Bank Limited (GIBL)#,113,132,163,294,321,336
19,Citizens Bank International Limited (CBIL),60,79,75,110,190,175
20,Prime Commercial Bank Limited (PCBL),53,63,67,198,186,183
21,Sunrise Bank Limited (SRBL),70,92,118,145,152,152
22,NMB Bank Limited (NMB),80,118,114,172,190,210
23,Janata Bank Nepal Limited (JBNL),88,121,145,-,0,0
24,Mega Bank Nepal Limited (MBNL),47,105,121,236,211,227
25,Civil Bank Limited (CBL),51,69,90,115,123,125
26,Century Commercial Bank Limited (CCBL),67,103,121,123,136,136
27,Sanima Bank Limited (SBL),46,74,79,88,103,118
28,Prabhu Bank Limited (PRVU),135,164,214,259,276,278
,Total,"2,274","3,024","3,590","4,436","4,753","4,847"
