0,1,2,3
18. Global IME Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"9,364.02","8,027.50","11,531.56"
Due from Nepal Rastra Bank,"14,809.25","4,768.99","5,217.31"
Placement with Bank and Financial Institutions,572.62,-,-
Derivative financial instruments,99.49,-,"4,112.52"
Other trading assets,-,-,-
Loan and advances to B/FIs,"2,331.29","3,474.26","4,054.63"
Loans and advances to customers,"77,135.88","88,878.10","108,977.61"
Investment securities,"10,154.59","16,320.65","13,153.15"
Current tax assets,951.11,"1,010.33","1,259.70"
Investment in susidiaries,219.78,219.78,219.78
Investment in associates,263.84,298.06,319.58
Investment property,144.69,91.92,118.69
Property and equipment,"1,030.66","1,324.47","1,373.57"
Goodwill and Intangible assets,28.73,31.95,28.29
Deferred tax assets,0.91,177.85,212.08
Other assets,787.08,"1,223.60","1,075.10"
TOTAL ASSETS,"117,893.94","125,847.43","151,653.57"
Due to Bank and Financial Institutions,"1,738.95","1,659.93","4,410.88"
Due to Nepal Rastra Bank,39.38,"1,034.65","1,231.80"
Derivative financial instruments,-,45.26,"3,879.90"
Deposits from customers,"100,171.54","104,850.51","120,088.44"
Borrowing,-,-,-
Current Tax Liabilities,889.37,948.52,"1,202.57"
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"2,278.28","3,329.90","3,011.35"
Debt securities issued,400.00,400.00,"1,496.45"
Subordinated Liabilities,-,-,-
Equity,"12,376.43","13,578.68","16,332.18"
Share capital,"8,080.34","8,888.38","10,310.52"
Share premium,-,-,-
Retained earnings,"1,957.82","1,460.83","2,663.62"
Reserves,"2,338.27","3,229.47","3,358.04"
TOTAL EQUITY AND LIABILITIES,"117,893.94","125,847.43","151,653.57"
Interest Income,7463.64,11481.73,13530.88
Interest Expenses,3799.26,7604.85,8288.54
Net Interest Income,3664.38,3876.88,5242.35
