0,1,2,3
Borrowings,-,-,-
Current Tax Liabilities,-,-,-
Provisions,5.31,5.31,5.31
Deferred tax liabilities,217.49,63.31,-
Other liabilities,"2,133.18","3,522.07","2,927.09"
Debt securities issued,"2,476.08","2,477.88","2,479.85"
Subordinated Liabilities,-,-,-
,,,
Equity,"18,888.02","20,409.29","20,963.52"
Share Capital,"12,576.92","14,200.97","14,200.97"
Share premium,-,-,-
Retained earnings,"1,422.78","1,329.46",846.99
Reserves,"4,888.32","4,878.85","5,915.56"
,,,
Total Liabilities and Equity,"168,329.05","194,412.65","198,932.61"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"10,839.53","15,967.65","20,660.83"
Interest Expense,"7,189.14","10,974.16","14,832.33"
Net Interest Income,"3,650.40","4,993.49","5,828.50"
Fees and commission income,825.37,998.10,"1,013.99"
Fees and commission expense,73.36,129.04,137.21
Net fee and commission income,752.01,869.07,876.78
"Net interest, fee and commission income","4,402.41","5,862.56","6,705.28"
Net trading income,418.47,224.28,182.20
Other operating income,153.11,177.23,23.58
Total operating income,"4,973.98","6,264.06","6,911.06"
Impairment charge/(reversal) for loans and other losses,394.04,552.42,"1,216.48"
Net operating income,"4,579.94","5,711.64","5,694.58"
Personnel expenses,"1,229.75","1,785.43","1,889.90"
Other operating expenses,650.05,803.85,901.91
Depreciation and Amortization,244.88,413.10,327.43
Operating Profit,"2,455.27","2,709.25","2,575.34"
Non-operating income,130.44,123.34,20.68
Non-operating expense,-,-,79.57
Profit before income tax,"2,585.70","2,832.60","2,516.45"
Income Tax Expense,,,-
Current Tax,780.30,890.24,765.41
Deferred Tax,1.06,(63.25),(112.71)
Profit for the period,"1,804.34","2,005.61","1,863.76"
