0,1,2,3
Particulars,2017-18,2018-19,2019-20
Subordinated Liabilities,-,-,-
Equity,"13,925.50","14,927.07","15,101.57"
Share capital,"8,011.43","8,011.43","8,011.43"
Share premium,-,-,-
Retained earnings,"1,403.04","1,807.88","1,521.08"
Reserves,"4,511.03","5,107.77","5,569.05"
TOTAL EQUITY AND LIABILITIES,"84,031.55","93,264.18","116,434.05"
Interest Income,"4,940.67","6,500.04","6,626.70"
Interest Expenses,"1,642.64","2,978.18","3,113.44"
Net Interest Income,"3,298.03","3,521.86","3,513.26"
Fee and commission income,724.40,873.84,732.71
Fee and commission expense,60.64,45.10,40.96
Net Fee and commission income,663.76,828.75,691.75
"Net Interest, Fee and commission income","3,961.79","4,350.61","4,205.01"
Net trading income,594.27,729.05,580.80
Other operating income,124.50,131.95,179.23
Total operating income,"4,680.56","5,211.61","4,965.05"
Impairment charge/(reversal) for loans and other losses,74.89,88.24,439.07
Net operating income,"4,605.67","5,123.37","4,525.98"
Personnel expenses,997.88,"1,084.36","1,102.47"
Other operating expenses,564.32,525.70,530.17
Depreciation &Amortization,26.01,35.70,51.90
Operating Profit,"3,017.46","3,477.63","2,841.44"
Non-operating income,4.03,-,0.76
Non-operating expense,-,2.95,9.63
Profit before income tax,"3,021.49","3,474.68","2,832.56"
Income Tax Expense,,,848.64
Current Tax,976.68,"1,022.94",808.85
Deferred Tax,(145.08),17.07,39.79
Profit/Loss for the period,"2,189.90","2,434.66","1,983.93"
