0,1,2,3,4
S.N.,Sector,Percent of Total Loan (mid-July),,
,,FY 2019/20,FY 2020/21,FY 2021/22
1,Agriculture Forest,5.75,6.52,7.18
2,Fishery,0.16,0.21,0.28
3,Mining,0.21,0.22,0.20
4,"Agriculture, Forestry & Beverage Prod. Related",5.43,5.48,5.25
5,Non-food Production Related,13.17,12.32,11.60
7,Construction,10.16,9.56,3.71
8,"Power, Gas and Water",5.40,5.45,5.74
9,"Metal Products, Machineries, Elec. and Installation",1.48,1.61,1.68
10,"Transport, Warehousing and Communication",2.60,2.12,1.99
11,Wholesalers and Retailers,20.84,20.55,20.75
12,"Finance, Insurance and Real Estate",7.66,7.74,7.55
13,Hotel and Restaurant,4.61,4.44,4.21
14,Other Services,4.73,4.40,4.25
15,Consumable Loans,4.75,5.52,18.14
16,Local Government,0.05,0.04,0.03
17,Others,12.99,13.82,7.45
,Total Loan,100.00,100.00,100.00
