0,1,2,3
15. Global IME Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalent,"18,221.95","28,531.85","49,795.64"
Due from Nepal Rastra Bank,"11,930.87","18,649.05","21,314.92"
Placement with Bank and Financial Institutions,-,668.73,-
Derivative financial instruments,"1,265.94",996.24,"4,525.35"
Other trading assets,-,-,-
Loan and advances to B/FIs,"10,751.32","13,660.22","13,763.66"
Loans and advances to customers,"258,087.53","354,466.75","369,424.52"
Investment securities,"46,513.51","87,591.67","121,300.90"
Current tax assets,"2,238.65","3,379.90",728.40
Investment in subsidiaries,370.70,650.70,"1,372.62"
Investment in associates,652.92,"1,840.16",85.63
Investment property,559.45,"1,733.32","4,847.53"
Property and equipment,"5,884.77","7,740.93","8,028.73"
Goodwill and Intangible assets,495.78,905.68,888.97
Deferred tax assets,180.13,16.63,-
Other assets,"3,383.71","6,050.71","6,077.62"
TOTAL ASSETS,"360,537.22","526,882.56","602,154.46"
Liabilities,"322,797.76","467,828.85","540,747.32"
Due to Bank and Financial Institutions,"9,594.87","13,023.62","17,433.53"
Due to Nepal Rastra Bank,"14,438.91",470.72,373.32
Derivative financial instruments,"1,271.01",946.95,"4,516.34"
Deposits from customers,"276,964.91","426,325.45","487,455.85"
Borrowing,"5,747.23","3,282.55","12,100.95"
Current Tax Liabilities,"2,203.84","2,788.10",-
Provisions,-,-,-
Deferred tax liabilities,-,-,521.78
Other liabilities,"8,084.12","8,809.88","7,660.88"
Debt securities issued,"4,492.87","12,181.59","10,684.66"
Subordinated Liabilities,-,-,-
Equity,"37,739.46","59,053.71","61,407.15"
Share capital,"23,795.75","35,771.06","36,128.77"
Share premium,-,-,-
Retained earnings,"3,239.23","3,243.36",506.72
Reserves,"10,704.48","20,039.29","24,771.66"
Total Liabilities and Equity,"360,537.22","526,882.56","602,154.46"
,,,
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest Income,"29,058.37","48,210.08","51,680.02"
Interest Expenses,"18,768.81","31,103.09","34,823.69"
Net Interest Income,"10,289.56","17,106.99","16,856.33"
Fee and commission income,"2,217.83","2,744.14","3,447.29"
Fee and commission expense,535.52,683.57,765.00
Net Fee and commission income,"1,682.31","2,060.57","2,682.29"
"Net Interest, Fee and commission income","11,971.87","19,167.56","19,538.62"
Net trading income,594.21,474.60,580.85
