0,1,2,3
Net operating income,"4,772.52","6,328.30","11,326.92"
Personnel expenses,"1,610.73","1,884.06","4,950.85"
Other operating expenses,677.87,821.75,"1,352.02"
Depreciation &Amortization,329.80,346.45,622.03
Operating Profit,"2,154.12","3,276.04","4,402.02"
Non operating income,10.46,8.37,212.17
Non operating expense,36.90,240.38,309.51
Profit before income tax,"2,127.67","3,044.03","4,304.69"
Income Tax Expense,,-,-
Current Tax,674.31,921.72,"1,203.55"
Deferred Tax,(60.09),(162.92),180.76
Profit for the period,"1,513.45","2,285.24","2,920.38"
