0,1,2,3
Investment property,220.93,198.28,252.59
Property and equipment,"1,293.54","1,480.62","2,225.08"
Goodwill and Intangible assets,289.80,262.01,229.77
Deferred tax assets,-,-,52.15
Other assets,"2,896.29","4,362.25","4,951.22"
,,,
Total Assets,"179,320.86","222,440.35","246,184.24"
,-,-,-
Liabilities,"150,849.64","190,935.23","212,827.21"
Due to bank and financial institutions,103.13,175.32,"7,998.74"
Due to Nepal Rastra Bank,9.67,"8,716.36","9,781.71"
Derivative financial instruments,-,-,-
Deposits from customers,"143,628.52","162,814.93","166,590.27"
Borrowing,10.94,538.53,"1,777.21"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,177.08,327.59,-
Other liabilities,"4,425.33","3,886.28","6,210.24"
Debt securities issued,"2,494.95","14,476.21","20,469.04"
Subordinated Liabilities,-,-,-
,,,
Equity,"28,471.22","31,505.12","33,357.03"
Share capital,"9,556.46","10,989.93","18,620.63"
Share premium,"5,432.71","5,432.71",-
Retained earnings,"2,273.77","3,654.51","3,521.79"
Reserves,"11,208.28","11,427.96","11,214.61"
,,,
Total Liabilities and Equity,"179,320.86","222,440.35","246,184.24"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"15,821.70","15,124.05","19,582.60"
Interest Expense,"9,105.58","8,258.33","11,226.66"
Net Interest Income,"6,716.12","6,865.72","8,355.94"
Fee and commission income,"1,901.63","1,612.95","1,464.29"
Fee and commission expense,25.81,46.88,56.19
Net Fee and commission income,"1,875.82","1,566.07","1,408.10"
"Net Interest, Fee and commission income","8,591.94","8,431.79","9,764.04"
Net trading income,392.18,994.30,232.46
Other operating income,35.93,452.41,234.76
Total operating income,"9,020.05","9,878.50","9,766.34"
Impairment charge/(reversal) for loans and other losses,517.22,121.43,992.76
Net operating income,"8,502.83","9,757.07","8,773.58"
Personnel expenses,"3,025.47","3,311.39","3,823.92"
