0,1,2,3
24. Civil Bank Limited,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"3,958.59","4,725.49","5,027.71"
Due from Nepal Rastra Bank,"3,525.08","3,949.89","4,480.09"
Placement with Bank and Financial Institutions,659.10,803.36,630.68
Derivative financial instruments,"1,732.50","3,361.08","2,564.82"
Other trading assets,-,-,-
Loan and advances to B/FIs,"1,805.00","1,770.05","3,698.02"
Loans and advances to customers,"42,593.69","52,204.26","79,037.70"
Investment securities,"6,755.98","8,199.00","12,712.81"
Current tax assets,16.88,99.87,97.03
Investment in subsidiaries,201.87,260.06,260.06
Investment in associates,-,-,-
Investment property,227.98,115.10,57.79
Property and equipment,501.01,611.00,587.00
Goodwill and Intangible assets,38.38,33.94,30.99
Deferred tax assets,-,-,-
Other assets,451.69,712.42,778.26
TOTAL ASSETS,"62,467.74","76,845.52","109,962.96"
,,-,-
Liabilities,"52,316.40","66,675.52","99,269.25"
Due to Bank and Financial Institutions,"6,517.06","3,130.18","1,710.05"
Due to Nepal Rastra Bank,531.25,728.57,"3,624.71"
Derivative financial instruments,"1,673.81","3,376.68","2,583.71"
Deposits from customers,"41,993.30","57,512.41","88,634.88"
Borrowing,-,-,-
