0,1,2,3
6. Himalayan Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"4,734.34","4,741.36","4,658.55"
Due from Nepal Rastra Bank,"6,141.15","5,159.26","4,883.54"
Placement with Bank and Financial Institutions,"6,272.03","4,989.52","5,231.24"
Derivative financial instruments,42.24,33.44,127.14
Other trading assets,-,-,-
Loan and advances to B/FIs,"3,326.43","3,685.22","4,772.75"
Loans and advances to customers,"74,471.81","82,474.99","92,697.32"
Investment securities,"9,648.80","11,654.17","16,466.20"
Current tax assets,28.11,154.31,224.95
Investment in subsidiaries,-,-,200.00
Investment in associates,195.79,195.79,195.79
Investment property,233.38,2.30,109.13
Property and equipment,"2,175.89","2,222.68","2,391.83"
Goodwill and Intangible assets,76.03,85.85,117.68
Deferred tax assets,-,-,-
Other assets,717.25,"1,063.41","1,075.02"
