0,1,2,3
Net trading income,595.91,382.60,421.85
Other operating income,126.40,308.27,63.92
Total Operating Income,"6,579.20","11,578.74","13,142.03"
Impairment charges/(reversal) for Loans and Other losses,"1,280.86","4,868.93","5,265.95"
Net operating income,"5,298.33","6,709.81","7,876.07"
Personnel expenses,"1,628.05","2,065.44","3,010.70"
Other operating expenses,758.71,"1,076.99","1,266.46"
Depreciation &Amortization,355.28,484.46,713.47
Operating Profit,"2,556.28","3,082.92","2,885.44"
Non operating income,860.05,7.18,10.42
Non operating expense,19.50,"1,070.45","1,124.35"
Profit before income tax,"3,396.83","2,019.66","1,771.51"
Income Tax Expense,,-,-
Current Tax,"1,054.86","1,482.06","2,148.04"
Deferred Tax,(25.57),"(1,025.21)","(1,614.84)"
Profit for the year,"2,367.54","1,562.82","1,238.30"
