0,1,2,3
Total operating income,"11,473.17","21,496.10","20,311.36"
Impairment charge/(reversal) for loans and other losses,"1,118.82","5,426.27","4,637.74"
Net operating income,"10,354.35","16,069.83","15,673.62"
Personnel expenses,"2,658.93","4,525.10","4,660.88"
Other operating expenses,"1,023.80","1,528.76","1,685.43"
Depreciation and amortization,390.03,503.21,679.68
Operating Profit,"6,281.59","9,512.76","8,647.64"
Non operating income,8.70,43.33,38.17
Non operating expense,2.73,274.88,89.74
Profit before income tax,"6,287.56","9,281.21","8,596.06"
Income Tax Expense,-,-,-
Current Tax,"1,940.23","2,803.08","2,743.60"
Deferred Tax,91.31,73.19,(344.64)
Profit for the year,"4,256.02","6,404.94","6,197.11"
