0,1,2,3
Total liabilities and equity,"123,355.71","151,378.01","141,189.07"
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest Income,"7,527.92","12,744.04","11,059.12"
Interest Expense,"3,787.46","6,788.01","5,925.83"
Net Interest Income,"3,740.46","5,956.03","5,133.29"
Fee and commission income,989.62,"1,475.46","1,647.80"
Fee and commission expense,56.98,191.53,232.02
Net Fee and commission income,932.64,"1,283.93","1,415.79"
"Net Interest, Fee and commission income","4,673.11","7,239.96","6,549.08"
Net trading income,657.44,582.15,679.70
Other operating income,2.92,20.45,2.20
Total operating income,"5,333.47","7,842.55","7,230.98"
Impairment charge/(reversal) for loans and other losses,134.31,598.25,216.11
Net operating income,"5,199.16","7,244.31","7,014.86"
Personnel expenses,"1,268.00","1,542.79","1,597.87"
Other operating expenses,542.07,571.03,553.20
Depreciation and amortization,148.64,158.78,149.76
Operating Profit,"3,240.45","4,971.71","4,714.04"
Non operating income,-,7.45,6.96
Non operating expense,8.49,19.54,26.39
Profit before income tax,"3,231.96","4,959.62","4,694.61"
Income Tax Expense,,-,-
Current Tax,"1,019.49","1,495.88","1,419.43"
Deferred Tax,(43.47),(1.59),(0.09)
Profit for the year,"2,255.93","3,465.33","3,275.27"
