0,1,2,3,4,5,6
S.N.,Bank,Total Outstanding Loan Prior to 6 Months (Rs. in million),Minimum Required Depreived Sector Lending (5%),Actual Lending in Deprived Sector (Rs. in million),Actual Lending in Deprived Sector (%),Excess/(Shortfall) (%)
1,Nepal Bank Ltd.,"222,918","11,146","11,430",5.13,0.13
2,Rastriya Banijya Bank Ltd.,284369.22,"14,218","14,608",5.14,0.14
3,Nabil Bank Ltd.,"410,241","20,512","21,026",5.13,0.13
4,Nepal Investment Bank Ltd.,"355,417","17,771","19,107",5.38,0.38
5,Standard Chartered Bank Ltd.,88411.32,"4,421","4,665",5.28,0.28
6,Himalayan Bank Ltd.,"247,363","12,368","12,457",5.04,0.04
7,Nepal SBI Bank Ltd.,"139,499.97","6,975","7,253",5.20,0.20
8,Everest Bank Ltd.,"217,318","10,866","10,925",5.03,0.03
9,NIC Asia Bank Ltd,"261,110","13,056","13,317",5.10,0.10
