0,1,2,3,4,5
Assets Category,Amount (Rs. in billion) Percentage Change,,,,
,FY 2022/23,FY 2023/24,FY 2024/25,FY 2023/24,FY 2024/25
Cash and Cash Equivalent,289.47,342.46,430.10,18.31,25.59
Due from NRB,288.71,360.15,483.44,24.75,34.23
Placements with BFIs,72.56,80.43,164.33,10.84,104.32
Loan and Advances to BFIs,161.68,165.45,188.97,2.33,14.22
Loans and advances to customers,"4,103.89","4,326.41","4,639.59",5.42,7.24
Investment securities,973.47,"1,285.62","1,446.85",32.07,12.54
Others,104.77,337.28,402.96,221.91,19.47
Total Assets,"5,994.55","6,897.80","7,756.24",15.07,12.45
