0,1,2,3
Property & Equipment,"5,215.53","8,170.59","8,196.32"
Goodwill and Intangible assets,995.35,983.14,968.35
Deferred tax assets,807.27,"1,670.22","3,472.89"
Other assets,"3,725.91","4,153.39","4,827.51"
TOTAL ASSETS,"332,392.90","355,735.81","371,298.73"
Liabilities,"298,762.53","319,112.73","334,674.41"
Due to Bank and Financial Institutions,"5,187.37","3,825.78","3,900.91"
Due to Nepal Rastra Bank,546.95,-,-
Derivative financial instruments,8.79,13.85,60.38
Deposits from customers,"275,310.99","293,899.59","309,158.67"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"9,327.64","12,989.37","13,166.75"
Debt securities issued,"8,380.79","8,384.14","8,387.70"
Subordinated Liabilities,-,-,-
Equity,"33,630.37","36,623.08","36,624.31"
Share Capital,"21,656.62","21,656.62","21,656.62"
Share premium,-,-,-
Retained earnings,"(3,242.63)","(7,441.53)","(8,854.30)"
Reserves,"15,216.38","22,407.99","23,822.00"
Total Liabilities and Equity,"332,392.90","355,735.81","371,298.73"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"29,094.72","35,576.63","27,699.72"
Interest Expense,"19,173.93","23,958.94","17,244.09"
Net Interest Income,"9,920.78","11,617.69","10,455.63"
Fee and commission income,"1,106.88","1,201.21","1,328.19"
Fee and Commission Expenses,139.79,162.64,177.04
Net Fee and commission income,967.09,"1,038.57","1,151.16"
"Net Interest, Fee and commission income","10,887.87","12,656.27","11,606.78"
Net trading income,382.60,421.85,632.56
Other operating income,308.27,63.92,282.22
Total Operating Income,"11,578.74","13,142.03","12,521.56"
