0,1,2,3
Net trading income,322.27,309.28,193.88
Other operating income,52.22,109.59,113.80
Total operating income,"4,439.03","4,241.34","4,644.37"
Impairment Charge/ (Reversal) for Loans and Other Losses,563.66,(127.15),(808.35)
Net operating income,"3,875.36","4,368.49","5,452.72"
Personnel expenses,"1,111.88","1,154.87","1,427.91"
Other operating expenses,554.08,564.38,545.03
Depreciation & Amortization,115.45,121.37,213.61
Operating Profit,"2,093.95","2,527.86","3,266.18"
Non-operating income,12.50,11.86,69.20
Non-operating expense,-,,-                     7.22
Profit before income tax,"2,106.45","2,539.72","3,328.15"
Income Tax Expense,,,-
Current Tax,669.80,840.38,998.50
Deferred Tax Expenses/(Income),(24.04),(27.07),7.11
Profit for the Period,"1,460.70","1,726.41","2,322.54"
