0,1,2,3
,,,
Total Liabilities and Equity,"179,451.91","231,546.86","255,150.61"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"14,442.97","13,983.69","19,168.86"
Interest Expense,"8,946.75","8,323.03","12,781.32"
Net Interest Income,"5,496.22","5,660.66","6,387.54"
Fee and commission income,914.37,"1,177.64","1,689.47"
Fee and commission expense,107.92,138.02,216.24
Net Fee and commission income,806.45,"1,039.62","1,473.23"
"Net Interest, Fee and commission income","6,302.67","6,700.28","7,860.77"
Net trading income,384.16,364.11,272.41
Other operating income,215.36,351.97,406.77
Total operating income,"6,902.19","7,416.36","8,539.94"
Impairment charge/(reversal) for loans and other losses,"1,627.17",382.41,(37.23)
Net operating income,"5,275.03","7,033.95","8,577.17"
Personnel expenses,"1,647.50","2,089.70","2,539.35"
Other operating expenses,935.57,853.75,"1,087.92"
Depreciation & Amortization,241.68,269.48,290.52
Operating Profit,"2,450.27","3,821.02","4,659.39"
Non-operating income,18.51,39.07,2.66
Non-operating expense,33.98,15.21,46.76
Profit before income tax,"2,434.80","3,844.88","4,615.29"
Income Tax Expense,,,-
Current Tax,725.59,"1,185.62","1,435.20"
Deferred Tax expense/(Income),(3.56),(51.82),(111.01)
Profit for the Period,"1,712.78","2,711.07","3,291.09"
