0,1,2,3
Fee and commission income,866.51,933.46,1181.1
Fee and commission expense,164.62,174.78,216.43
Net Fee and commission income,701.89,758.68,964.66
"Net Interest, Fee and commission income",4366.27,4635.56,6207.01
Net trading income,230.63,261.96,412.13
Other operating income,151.70,198.16,163.06
Total operating income,4748.61,5095.69,6782.19
Impairment charge/(reversal) for loans and other losses,-18.50,-289.84,198.19
Net operating income,4767.11,5385.52,6584.004
Personnel expenses,1073.47,1314.22,1579.66
Other operating expenses,602.12,766.48,859.41
Depreciation & Amortisation,139.87,243.74,238.3
Operating Profit,2951.65,3061.07,3906.63
Non operating income,17.07,1.89,27.29
Non operating expense,0.00,150.98,0
Profit before income tax,2968.73,2911.98,3933.92
Income Tax Expense,,,
Current Tax,889.37,948.52,1202.57
Deferred Tax,18.12,-137.90,-30.61
Profit/Loss for the period,2061.24,2101.36,2761.95
