0,1,2,3
Due to Nepal Rastra Bank,-,-,-
Derivative financial instruments,-,"3,735.20","5,423.35"
Deposits from customers,"321,654.94","429,187.76","500,414.68"
Borrowing,60.00,60.00,60.00
Current Tax Liabilities,-,-,-
Provisions,322.49,331.44,328.71
Deferred tax liabilities,"7,454.99","7,021.69","7,812.87"
Other liabilities,"9,960.72","14,580.91","12,050.80"
Debt securities issued,"2,500.58","2,500.58","5,000.58"
Subordinated Liabilities,-,-,-
Equity,"50,738.31","50,237.30","52,178.89"
Share capital,"15,637.38","15,637.38","15,637.38"
Share premium,-,-,-
Retained earnings,918.41,"(1,222.15)",(850.27)
Reserves,"34,182.52","35,822.07","37,391.79"
Total liabilities and equity,"394,021.73","509,181.97","585,645.96"
