0,1,2,3
Share capital,"8,520.26","9,372.28","10,684.40"
Share premium,-,-,-
Retained earnings,"2,171.15","2,496.76","2,938.20"
Reserves,"5,303.39","5,720.21","6,510.11"
TOTAL EQUITY AND LIABILITIES,"133,151.14","155,884.92","178,490.93"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"11,625.42","12,178.99","10,370.84"
Interest Expenses,"6,594.07","7,357.29","6,582.12"
Net Interest Income,"5,031.35","4,821.70","3,788.72"
Fee and commission income,821.31,748.84,778.66
Fee and commission expense,65.07,62.10,80.48
Net Fee and commission income,756.24,686.74,698.18
"Net Interest, Fee and commission income","5,787.58","5,508.44","4,486.90"
Net trading income,718.16,764.97,655.01
Other operating income,175.12,145.40,"2,227.73"
Total operating income,"6,680.86","6,418.81","7,369.63"
Impairment charge/(reversal) for loans and other losses,133.62,305.63,145.32
Net operating income,"6,547.23","6,113.18","7,224.31"
Personnel expenses,"1,638.13","1,651.12","1,859.37"
Other operating expenses,796.69,870.17,870.90
Depreciation &Amortization,170.19,180.32,186.18
Operating Profit,"3,942.21","3,411.57","4,307.87"
Non operating income,49.33,398.08,18.34
Non operating expense,58.38,251.26,66.89
Profit before income tax,"3,933.16","3,558.39","4,259.31"
Income Tax Expense,,,
Current Tax,"1,192.12",979.25,"1,277.00"
Deferred Tax,(22.81),(7.59),(16.31)
Profit/Loss for the period,"2,763.85","2,586.72","2,998.62"
