0,1,2,3
Due from Nepal Rastra Bank,"10,670.24","15,285.13","20,873.86"
Placement with Bank and Financial Institutions,-,346.13,242.43
Derivative financial instruments,"2,304.45",261.46,"7,217.24"
Other trading assets,193.25,202.23,197.87
Loans and Advances to BFIs,"6,975.49","8,660.30","7,829.69"
Loans and advances to customers,"234,154.90","221,045.60","225,455.92"
Investment securities,"69,573.75","93,329.98","119,483.76"
Current tax assets,130.01,795.73,275.62
Investment in Subsidiaries,795.73,-,795.73
Investment in associates,27.50,-,179.19
Investment property,445.35,789.75,"1,654.26"
Property and equipment,"4,875.63","4,603.37","4,292.14"
Goodwill and Intangible assets,357.56,323.27,298.19
Deferred tax assets,824.25,324.46,869.22
Other assets,"6,614.70","7,061.46","7,247.92"
TOTAL ASSETS,"347,976.38","361,118.71","405,608.23"
Liabilities,"316,624.19","328,479.00","372,039.76"
Due to Bank and Financial Institutions,"8,003.04","7,216.24","5,899.65"
Due to Nepal Rastra Bank,159.74,0.95,-
Derivative financial instruments,"2,308.72",259.96,"7,224.75"
Deposits from customers,"289,090.93","305,012.85","342,188.54"
Borrowings,657.50,668.25,687.75
Current Tax Liabilities,-,60.16,-
Provisions,97.68,105.68,105.68
Deferred tax liabilities,-,-,-
Other liabilities,"8,467.63","7,314.66","8,091.72"
Debt securities issued,"7,838.95","7,840.25","7,841.67"
Subordinated Liabilities,-,-,-
Equity,"31,352.20","32,639.71","33,568.47"
Share Capital,"23,542.49","23,542.49","23,542.49"
Share premium,-,-,-
Retained earnings,"(2,236.38)","(3,025.53)","(2,565.65)"
Reserves,"10,046.08","12,122.75","12,591.63"
Total Liabilities and Equity,"347,976.38","361,118.71","405,608.23"
,-,,
